Export;EXP-2023-01 (20230706 14:53);;;StationsCode;NL10131;NL10444;NL10538;NL10633;NL10738
Periode;20180101 00:00 - 20190101 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;De Zilk-Vogelaarsdreef;Wieringerwerf-Medemblikkerweg;Zegveld-Oude Meije;Wekerom-Riemterdijk
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(52.296556,4.510817);(52.803657,5.050509);(52.13795,4.83819);(52.111621,5.708419)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;regionaal;regionaal
;;;;StationsType;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond
;;;;Meetprincipe;Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS)
;;;;Meetopstelling;miniDOAS;miniDOAS;miniDOAS;miniDOAS;miniDOAS
;;;;Accreditatienummer;nvt;nvt;nvt;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10444;NL10538;NL10633;NL10738
NH3;uur;µg/m³;20180103 05:00;20180103 06:00;3.709;0.013;2.094;0.549;1.701
NH3;uur;µg/m³;20180103 06:00;20180103 07:00;2.97;;2.348;;1.537
NH3;uur;µg/m³;20180103 07:00;20180103 08:00;2.618;0.022;2.142;;0.955
NH3;uur;µg/m³;20180103 08:00;20180103 09:00;3.749;;2.207;1.106;0.632
NH3;uur;µg/m³;20180103 09:00;20180103 10:00;3.419;;;0.631;0.976
NH3;uur;µg/m³;20180103 10:00;20180103 11:00;2.73;;;;0.413
NH3;uur;µg/m³;20180103 11:00;20180103 12:00;2.729;;;;0.536
NH3;uur;µg/m³;20180103 12:00;20180103 13:00;2.815;;;;1.03
NH3;uur;µg/m³;20180103 13:00;20180103 14:00;2.705;;;1.402;1.226
NH3;uur;µg/m³;20180103 14:00;20180103 15:00;2.59;;;1.182;1.832
NH3;uur;µg/m³;20180103 15:00;20180103 16:00;2.79;;;1.421;2.048
NH3;uur;µg/m³;20180103 16:00;20180103 17:00;2.472;;1.996;1.794;1.681
NH3;uur;µg/m³;20180103 17:00;20180103 18:00;2.917;;2.148;1.931;1.671
NH3;uur;µg/m³;20180103 18:00;20180103 19:00;3.362;;2.089;1.744;1.815
NH3;uur;µg/m³;20180103 19:00;20180103 20:00;2.867;;2.145;1.866;1.936
NH3;uur;µg/m³;20180103 20:00;20180103 21:00;3.035;;2.042;1.417;1.543
NH3;uur;µg/m³;20180103 21:00;20180103 22:00;3.517;0.267;1.995;1.443;1.394
NH3;uur;µg/m³;20180103 22:00;20180103 23:00;3.513;;;1.366;1.546
NH3;uur;µg/m³;20180103 23:00;20180104 00:00;3.398;;;1.234;1.776
NH3;uur;µg/m³;20180104 00:00;20180104 01:00;3.706;-0.052;2.619;1.314;1.378
NH3;uur;µg/m³;20180104 01:00;20180104 02:00;4.08;0.185;3.211;1.103;1.538
NH3;uur;µg/m³;20180104 02:00;20180104 03:00;3.843;0.089;2.918;0.891;1.97
NH3;uur;µg/m³;20180104 03:00;20180104 04:00;3.999;0.016;2.862;0.703;1.797
NH3;uur;µg/m³;20180104 04:00;20180104 05:00;4.612;0.232;3.116;1.131;1.916
NH3;uur;µg/m³;20180104 05:00;20180104 06:00;3.592;0.077;3.313;1.116;1.91
NH3;uur;µg/m³;20180104 06:00;20180104 07:00;3.224;0.246;3.402;1.114;2.324
NH3;uur;µg/m³;20180104 07:00;20180104 08:00;3.341;-0.082;3.639;1.376;2.521
NH3;uur;µg/m³;20180104 08:00;20180104 09:00;4.981;0.171;3.521;1.218;2.617
NH3;uur;µg/m³;20180104 09:00;20180104 10:00;5.376;0.321;3.407;2.012;3.45
NH3;uur;µg/m³;20180104 10:00;20180104 11:00;6.041;0.467;3.528;7.516;2.907
NH3;uur;µg/m³;20180104 11:00;20180104 12:00;6.448;0.735;3.358;5.927;2.906
NH3;uur;µg/m³;20180104 12:00;20180104 13:00;7.006;1.376;3.89;6.195;3.092
NH3;uur;µg/m³;20180104 13:00;20180104 14:00;3.459;0.642;4.793;2.122;2.941
NH3;uur;µg/m³;20180104 14:00;20180104 15:00;3.743;0.473;3.889;1.192;5.605
NH3;uur;µg/m³;20180104 15:00;20180104 16:00;3.791;0.145;2.421;1.752;
NH3;uur;µg/m³;20180104 16:00;20180104 17:00;3.62;;3.46;1.256;0.316
NH3;uur;µg/m³;20180104 17:00;20180104 18:00;3.766;;3.691;1.094;2.34
NH3;uur;µg/m³;20180104 18:00;20180104 19:00;4.1;;;1.562;1.783
NH3;uur;µg/m³;20180104 19:00;20180104 20:00;3.678;;2.76;1.603;1.682
NH3;uur;µg/m³;20180104 20:00;20180104 21:00;3.585;;;2.161;1.262
NH3;uur;µg/m³;20180104 21:00;20180104 22:00;3.865;;;1.866;1.739
NH3;uur;µg/m³;20180104 22:00;20180104 23:00;2.896;;2.725;1.445;1.51
NH3;uur;µg/m³;20180104 23:00;20180105 00:00;3.177;;2.634;0.944;1.458
NH3;uur;µg/m³;20180105 00:00;20180105 01:00;3.202;;2.684;1.232;1.501
NH3;uur;µg/m³;20180105 01:00;20180105 02:00;2.904;0.022;2.49;1.287;1.373
NH3;uur;µg/m³;20180105 02:00;20180105 03:00;3.206;-0.001;2.46;1.632;1.601
NH3;uur;µg/m³;20180105 03:00;20180105 04:00;3.368;0.169;2.392;0.547;1.274
NH3;uur;µg/m³;20180105 04:00;20180105 05:00;2.088;0.407;2.913;0.823;1.297
NH3;uur;µg/m³;20180105 05:00;20180105 06:00;3.137;0.538;3.061;1.128;1.45
NH3;uur;µg/m³;20180105 06:00;20180105 07:00;4.473;0.092;3.195;1.082;1.416
NH3;uur;µg/m³;20180105 07:00;20180105 08:00;8.217;-0.014;2.927;1.636;2.018
NH3;uur;µg/m³;20180105 08:00;20180105 09:00;6.781;0.276;3.659;3.747;1.775
NH3;uur;µg/m³;20180105 09:00;20180105 10:00;5.276;0.692;3.521;1.182;1.358
NH3;uur;µg/m³;20180105 10:00;20180105 11:00;5.032;0.394;4.583;3.352;2.166
NH3;uur;µg/m³;20180105 11:00;20180105 12:00;5.152;0.566;5.893;5.406;2.916
NH3;uur;µg/m³;20180105 12:00;20180105 13:00;4.871;0.491;6.378;7.758;3.205
NH3;uur;µg/m³;20180105 13:00;20180105 14:00;4.706;0.525;5.531;9.459;2.716
NH3;uur;µg/m³;20180105 14:00;20180105 15:00;5.559;0.842;5.483;2.832;3.903
NH3;uur;µg/m³;20180105 15:00;20180105 16:00;5.673;-0.051;;4.182;3.858
NH3;uur;µg/m³;20180105 16:00;20180105 17:00;5.174;0.002;;1.322;3.4
NH3;uur;µg/m³;20180105 17:00;20180105 18:00;6.229;0.509;3.687;5.364;1.792
NH3;uur;µg/m³;20180105 18:00;20180105 19:00;5.209;0.553;4.312;5.674;1.139
NH3;uur;µg/m³;20180105 19:00;20180105 20:00;3.802;0.301;4.682;7.008;1.104
NH3;uur;µg/m³;20180105 20:00;20180105 21:00;5.329;0.296;4.595;6.949;1.386
NH3;uur;µg/m³;20180105 21:00;20180105 22:00;6.116;0.276;4.57;1.946;2.016
NH3;uur;µg/m³;20180105 22:00;20180105 23:00;4.977;0.382;4.784;1.671;1.417
NH3;uur;µg/m³;20180105 23:00;20180106 00:00;6.135;0.084;4.363;1.951;1.295
NH3;uur;µg/m³;20180106 00:00;20180106 01:00;6.359;0.477;2.783;2.086;1.315
NH3;uur;µg/m³;20180106 01:00;20180106 02:00;5.97;-0.203;2.289;1.305;1.386
NH3;uur;µg/m³;20180106 02:00;20180106 03:00;7.383;-0.059;2.388;1.908;1.795
NH3;uur;µg/m³;20180106 03:00;20180106 04:00;7.115;0.147;2.373;2.949;1.886
NH3;uur;µg/m³;20180106 04:00;20180106 05:00;7.467;;;1.629;1.728
NH3;uur;µg/m³;20180106 05:00;20180106 06:00;9.44;;2.754;9.19;2.007
NH3;uur;µg/m³;20180106 06:00;20180106 07:00;16.834;;2.787;9.284;4.117
NH3;uur;µg/m³;20180106 07:00;20180106 08:00;13.356;;3.398;9.88;3.426
NH3;uur;µg/m³;20180106 08:00;20180106 09:00;20.317;;3.425;6.458;3.157
NH3;uur;µg/m³;20180106 09:00;20180106 10:00;15.29;;6.858;7.134;7.781
NH3;uur;µg/m³;20180106 10:00;20180106 11:00;16.039;;4.199;9.276;10.483
NH3;uur;µg/m³;20180106 11:00;20180106 12:00;19.539;;2.41;10.981;6.547
NH3;uur;µg/m³;20180106 12:00;20180106 13:00;30.387;;1.797;9.791;8.712
NH3;uur;µg/m³;20180106 13:00;20180106 14:00;43.517;;2.322;6.323;31.002
NH3;uur;µg/m³;20180106 14:00;20180106 15:00;35.187;;2.513;12.376;36.696
NH3;uur;µg/m³;20180106 15:00;20180106 16:00;95.072;;2.715;3.701;17.586
NH3;uur;µg/m³;20180106 16:00;20180106 17:00;93.147;;2.93;3.217;15.277
NH3;uur;µg/m³;20180106 17:00;20180106 18:00;106.655;;3.375;1.362;16.127
NH3;uur;µg/m³;20180106 18:00;20180106 19:00;99.898;;2.51;1.238;5.874
NH3;uur;µg/m³;20180106 19:00;20180106 20:00;87.899;;2.663;1.07;3.827
NH3;uur;µg/m³;20180106 20:00;20180106 21:00;68.807;;3.069;1.088;2.291
NH3;uur;µg/m³;20180106 21:00;20180106 22:00;77.236;;3.165;1.2;2.628
NH3;uur;µg/m³;20180106 22:00;20180106 23:00;27.187;;2.759;1.633;3.858
NH3;uur;µg/m³;20180106 23:00;20180107 00:00;27.211;;3.018;1.393;7.917
NH3;uur;µg/m³;20180107 00:00;20180107 01:00;36.222;;3.031;1.388;7.018
NH3;uur;µg/m³;20180107 01:00;20180107 02:00;35.827;;2.426;1.62;2.324
NH3;uur;µg/m³;20180107 02:00;20180107 03:00;47.862;;2.613;1.167;2.313
NH3;uur;µg/m³;20180107 03:00;20180107 04:00;53.819;;2.675;1.239;3.12
NH3;uur;µg/m³;20180107 04:00;20180107 05:00;64.612;;2.543;1.09;2.081
NH3;uur;µg/m³;20180107 05:00;20180107 06:00;61.229;;2.505;1.184;2.089
NH3;uur;µg/m³;20180107 06:00;20180107 07:00;51.221;;2.798;1.174;2.556
NH3;uur;µg/m³;20180107 07:00;20180107 08:00;50.511;;2.609;1.244;2.958
NH3;uur;µg/m³;20180107 08:00;20180107 09:00;45.755;;3.049;1.378;3.377
NH3;uur;µg/m³;20180107 09:00;20180107 10:00;48.812;;2.525;1.446;3.802
NH3;uur;µg/m³;20180107 10:00;20180107 11:00;62.971;;2.947;1.586;3.29
NH3;uur;µg/m³;20180107 11:00;20180107 12:00;65.703;;2.904;1.77;2.872
NH3;uur;µg/m³;20180107 12:00;20180107 13:00;64.342;;3.037;1.761;2.916
NH3;uur;µg/m³;20180107 13:00;20180107 14:00;60.791;;3.313;1.87;3.262
NH3;uur;µg/m³;20180107 14:00;20180107 15:00;59.685;;3.386;1.858;3.025
NH3;uur;µg/m³;20180107 15:00;20180107 16:00;72.659;;3.587;1.873;3.188
NH3;uur;µg/m³;20180107 16:00;20180107 17:00;78.465;;3.903;2.045;3.346
NH3;uur;µg/m³;20180107 17:00;20180107 18:00;73.636;;3.823;2.032;3.831
NH3;uur;µg/m³;20180107 18:00;20180107 19:00;53.412;;3.817;2.21;2.919
NH3;uur;µg/m³;20180107 19:00;20180107 20:00;57.824;;3.492;2.363;3.717
NH3;uur;µg/m³;20180107 20:00;20180107 21:00;46.851;;3.229;2.308;3.664
NH3;uur;µg/m³;20180107 21:00;20180107 22:00;54.094;;3.636;2.262;3.867
NH3;uur;µg/m³;20180107 22:00;20180107 23:00;58.357;;3.633;2.005;3.49
NH3;uur;µg/m³;20180107 23:00;20180108 00:00;55.49;;3.466;2.094;3.532
NH3;uur;µg/m³;20180108 00:00;20180108 01:00;47.427;;3.443;2.281;3.499
NH3;uur;µg/m³;20180108 01:00;20180108 02:00;52.625;;3.309;2.207;4.047
NH3;uur;µg/m³;20180108 02:00;20180108 03:00;39.777;;3.039;2.144;3.865
NH3;uur;µg/m³;20180108 03:00;20180108 04:00;38.681;;3.427;2.09;3.957
NH3;uur;µg/m³;20180108 04:00;20180108 05:00;61.661;;3.056;1.937;3.567
NH3;uur;µg/m³;20180108 05:00;20180108 06:00;50.832;;2.971;2.378;3.464
NH3;uur;µg/m³;20180108 06:00;20180108 07:00;48.679;;3.084;2.187;3.521
NH3;uur;µg/m³;20180108 07:00;20180108 08:00;43.488;;3.074;2.523;3.615
NH3;uur;µg/m³;20180108 08:00;20180108 09:00;46.892;;3.047;2.109;3.647
NH3;uur;µg/m³;20180108 09:00;20180108 10:00;35.392;;3.339;2.308;3.555
NH3;uur;µg/m³;20180108 10:00;20180108 11:00;33.616;;3.4;3.723;3.515
NH3;uur;µg/m³;20180108 11:00;20180108 12:00;20.909;;3.67;2.84;3.718
NH3;uur;µg/m³;20180108 12:00;20180108 13:00;10.482;;3.674;4.168;3.629
NH3;uur;µg/m³;20180108 13:00;20180108 14:00;21.849;;4.229;4.871;3.38
NH3;uur;µg/m³;20180108 14:00;20180108 15:00;30.069;;5.596;4.554;4.021
NH3;uur;µg/m³;20180108 15:00;20180108 16:00;25.779;;5.059;5.563;3.899
NH3;uur;µg/m³;20180108 16:00;20180108 17:00;20.783;;4.485;5.474;4.859
NH3;uur;µg/m³;20180108 17:00;20180108 18:00;16.836;;4.982;5.925;5.2
NH3;uur;µg/m³;20180108 18:00;20180108 19:00;15.49;;4.984;3.567;4.798
NH3;uur;µg/m³;20180108 19:00;20180108 20:00;16.517;;4.961;3.991;3.958
NH3;uur;µg/m³;20180108 20:00;20180108 21:00;28.65;;4.89;3.379;3.805
NH3;uur;µg/m³;20180108 21:00;20180108 22:00;27.658;;5.134;3.901;2.986
NH3;uur;µg/m³;20180108 22:00;20180108 23:00;22.409;;4.275;6.676;3.113
NH3;uur;µg/m³;20180108 23:00;20180109 00:00;14.04;;3.939;8.276;3.499
NH3;uur;µg/m³;20180109 00:00;20180109 01:00;33.999;;3.842;3.43;4.448
NH3;uur;µg/m³;20180109 01:00;20180109 02:00;70.425;;3.839;5.496;5.817
NH3;uur;µg/m³;20180109 02:00;20180109 03:00;32.245;;4.058;4.628;5.39
NH3;uur;µg/m³;20180109 03:00;20180109 04:00;22.934;;4.107;4.897;5.867
NH3;uur;µg/m³;20180109 04:00;20180109 05:00;26.008;;3.493;4.842;5.539
NH3;uur;µg/m³;20180109 05:00;20180109 06:00;28.16;;4.093;3.724;4.698
NH3;uur;µg/m³;20180109 06:00;20180109 07:00;26.149;;3.978;3.818;8.7
NH3;uur;µg/m³;20180109 07:00;20180109 08:00;12.094;;3.648;4.979;10.429
NH3;uur;µg/m³;20180109 08:00;20180109 09:00;17.593;;4.003;5.824;6.299
NH3;uur;µg/m³;20180109 09:00;20180109 10:00;7.396;;4.151;8.999;7.702
NH3;uur;µg/m³;20180109 10:00;20180109 11:00;8.954;;4.246;8.392;9.593
NH3;uur;µg/m³;20180109 11:00;20180109 12:00;7.621;;4.653;6.432;8.447
NH3;uur;µg/m³;20180109 12:00;20180109 13:00;8.372;;4.97;4.796;8.694
NH3;uur;µg/m³;20180109 13:00;20180109 14:00;9.558;;5.349;4.858;6.178
NH3;uur;µg/m³;20180109 14:00;20180109 15:00;14.583;;5.594;6.338;7.641
NH3;uur;µg/m³;20180109 15:00;20180109 16:00;21.056;3.145;6.136;6.331;12.647
NH3;uur;µg/m³;20180109 16:00;20180109 17:00;22.415;3.593;7.183;7.189;15.216
NH3;uur;µg/m³;20180109 17:00;20180109 18:00;15.533;3.759;7.646;7.607;16.861
NH3;uur;µg/m³;20180109 18:00;20180109 19:00;25.29;3.922;8.805;6.662;11.911
NH3;uur;µg/m³;20180109 19:00;20180109 20:00;32.946;3.751;6.9;6.878;8.447
NH3;uur;µg/m³;20180109 20:00;20180109 21:00;21.968;3.737;8.321;7.041;8.666
NH3;uur;µg/m³;20180109 21:00;20180109 22:00;21.186;3.688;8.758;8.133;12.451
NH3;uur;µg/m³;20180109 22:00;20180109 23:00;20.932;2.672;9.129;7.175;9.574
