Export;EXP-2023-01 (20230706 14:53);;;StationsCode;NL10131;NL10444;NL10538;NL10633;NL10738
Periode;20180101 00:00 - 20190101 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;De Zilk-Vogelaarsdreef;Wieringerwerf-Medemblikkerweg;Zegveld-Oude Meije;Wekerom-Riemterdijk
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(52.296556,4.510817);(52.803657,5.050509);(52.13795,4.83819);(52.111621,5.708419)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;regionaal;regionaal
;;;;StationsType;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond
;;;;Meetprincipe;Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS)
;;;;Meetopstelling;miniDOAS;miniDOAS;miniDOAS;miniDOAS;miniDOAS
;;;;Accreditatienummer;nvt;nvt;nvt;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10444;NL10538;NL10633;NL10738
NH3;uur;µg/m³;20180407 03:00;20180407 04:00;13.178;10.098;8.296;12.636;14.114
NH3;uur;µg/m³;20180407 04:00;20180407 05:00;14.019;10.044;7.493;11.445;14.026
NH3;uur;µg/m³;20180407 05:00;20180407 06:00;14.712;10.226;7.239;11.625;16.379
NH3;uur;µg/m³;20180407 06:00;20180407 07:00;14.036;10.84;;12.013;16.542
NH3;uur;µg/m³;20180407 07:00;20180407 08:00;16.665;11.515;;12.425;9.941
NH3;uur;µg/m³;20180407 08:00;20180407 09:00;18.206;12.612;;13.133;9.128
NH3;uur;µg/m³;20180407 09:00;20180407 10:00;17.37;12.165;;13.031;8.633
NH3;uur;µg/m³;20180407 10:00;20180407 11:00;20.45;11.097;;11.328;9.698
NH3;uur;µg/m³;20180407 11:00;20180407 12:00;15.406;10.14;;9.852;11.943
NH3;uur;µg/m³;20180407 12:00;20180407 13:00;15.066;9.616;;10.107;12.374
NH3;uur;µg/m³;20180407 13:00;20180407 14:00;13.932;9.693;;10.352;13.536
NH3;uur;µg/m³;20180407 14:00;20180407 15:00;13.456;9.652;;10.801;13.753
NH3;uur;µg/m³;20180407 15:00;20180407 16:00;13.65;7.832;;10.96;14.522
NH3;uur;µg/m³;20180407 16:00;20180407 17:00;13.741;8.374;;10.935;12.387
NH3;uur;µg/m³;20180407 17:00;20180407 18:00;13.718;8.408;;13.75;11.812
NH3;uur;µg/m³;20180407 18:00;20180407 19:00;17.594;8.886;;21.621;14
NH3;uur;µg/m³;20180407 19:00;20180407 20:00;17.438;7.001;;22.909;32.476
NH3;uur;µg/m³;20180407 20:00;20180407 21:00;17.4;6.099;;56.986;69.466
NH3;uur;µg/m³;20180407 21:00;20180407 22:00;27.963;6.351;;51.454;59.551
NH3;uur;µg/m³;20180407 22:00;20180407 23:00;27.653;5.932;;39.501;61.746
NH3;uur;µg/m³;20180407 23:00;20180408 00:00;31.26;4.4;;34.225;66.484
NH3;uur;µg/m³;20180408 00:00;20180408 01:00;33.759;3.338;;15.788;55.418
NH3;uur;µg/m³;20180408 01:00;20180408 02:00;35.33;2.36;;11.812;55.029
NH3;uur;µg/m³;20180408 02:00;20180408 03:00;46.267;2.219;;15.567;82.37
NH3;uur;µg/m³;20180408 03:00;20180408 04:00;81.761;1.887;;18.945;50.332
NH3;uur;µg/m³;20180408 04:00;20180408 05:00;34.21;1.316;;15.825;64.61
NH3;uur;µg/m³;20180408 05:00;20180408 06:00;43.602;1.01;;11.119;71.557
NH3;uur;µg/m³;20180408 06:00;20180408 07:00;27.242;1.205;;13.82;108.362
NH3;uur;µg/m³;20180408 07:00;20180408 08:00;69.795;1.782;;11.056;117.461
NH3;uur;µg/m³;20180408 08:00;20180408 09:00;78.282;4.434;8.763;15.749;93.946
NH3;uur;µg/m³;20180408 09:00;20180408 10:00;59.757;5.388;7.684;15.022;83.585
NH3;uur;µg/m³;20180408 10:00;20180408 11:00;50.729;1.561;9.685;13.897;44.357
NH3;uur;µg/m³;20180408 11:00;20180408 12:00;22.113;1.981;8.747;12.302;63.586
NH3;uur;µg/m³;20180408 12:00;20180408 13:00;24.102;3.862;8.423;12.993;50.661
NH3;uur;µg/m³;20180408 13:00;20180408 14:00;15.135;1.205;7.614;13.003;26.131
NH3;uur;µg/m³;20180408 14:00;20180408 15:00;9.514;1.426;6.013;12.304;26.88
NH3;uur;µg/m³;20180408 15:00;20180408 16:00;10.29;1.928;4.915;9.876;27.07
NH3;uur;µg/m³;20180408 16:00;20180408 17:00;13.999;2.269;4.686;10.123;39.125
NH3;uur;µg/m³;20180408 17:00;20180408 18:00;18.358;2.287;4.53;10.431;36.329
NH3;uur;µg/m³;20180408 18:00;20180408 19:00;96.323;2.397;5.203;13.338;67.954
NH3;uur;µg/m³;20180408 19:00;20180408 20:00;55.809;2.167;5.755;7.76;82.502
NH3;uur;µg/m³;20180408 20:00;20180408 21:00;106.876;1.824;5.945;20.345;95.382
NH3;uur;µg/m³;20180408 21:00;20180408 22:00;106.012;1.636;5.699;16.642;133.056
NH3;uur;µg/m³;20180408 22:00;20180408 23:00;101.435;1.352;4.667;9.032;136.155
NH3;uur;µg/m³;20180408 23:00;20180409 00:00;132.898;1.421;4.193;27.865;92.394
NH3;uur;µg/m³;20180409 00:00;20180409 01:00;152.945;1.04;;11.481;63.415
NH3;uur;µg/m³;20180409 01:00;20180409 02:00;56.125;0.962;3.548;10.343;59.819
NH3;uur;µg/m³;20180409 02:00;20180409 03:00;37.413;0.996;;10.5;99.104
NH3;uur;µg/m³;20180409 03:00;20180409 04:00;27.37;1.077;2.944;7.892;52.595
NH3;uur;µg/m³;20180409 04:00;20180409 05:00;32.319;1.118;2.867;7.646;48.418
NH3;uur;µg/m³;20180409 05:00;20180409 06:00;29.192;1.195;3.272;7.228;49.014
NH3;uur;µg/m³;20180409 06:00;20180409 07:00;32.53;1.603;;7.292;40.685
NH3;uur;µg/m³;20180409 07:00;20180409 08:00;45.355;3.118;;6.511;22.464
NH3;uur;µg/m³;20180409 08:00;20180409 09:00;29.665;3.523;5.568;6.452;13.652
NH3;uur;µg/m³;20180409 09:00;20180409 10:00;24.626;3.596;5.537;7.654;11.488
NH3;uur;µg/m³;20180409 10:00;20180409 11:00;27.071;4.283;6.11;6.854;10.46
NH3;uur;µg/m³;20180409 11:00;20180409 12:00;47.407;4.766;7.169;8.587;12.384
NH3;uur;µg/m³;20180409 12:00;20180409 13:00;67.002;4.945;6.834;13.178;12.183
NH3;uur;µg/m³;20180409 13:00;20180409 14:00;64.173;5.163;6.187;11.867;11.658
NH3;uur;µg/m³;20180409 14:00;20180409 15:00;78.276;6.324;5.708;12.917;12.573
NH3;uur;µg/m³;20180409 15:00;20180409 16:00;79.068;6.977;6.263;9.075;13.144
NH3;uur;µg/m³;20180409 16:00;20180409 17:00;60.898;6.897;6.733;13.258;13.04
NH3;uur;µg/m³;20180409 17:00;20180409 18:00;67.708;6.92;6.878;10.197;15.849
NH3;uur;µg/m³;20180409 18:00;20180409 19:00;49.935;7.668;7.623;12.35;20.443
NH3;uur;µg/m³;20180409 19:00;20180409 20:00;127.249;7.139;6.809;14.078;21.449
NH3;uur;µg/m³;20180409 20:00;20180409 21:00;83.805;7.296;5.685;13.261;17.63
NH3;uur;µg/m³;20180409 21:00;20180409 22:00;205.628;6.384;6.391;9.017;16.081
NH3;uur;µg/m³;20180409 22:00;20180409 23:00;118.591;6.137;7.068;7.391;19.708
NH3;uur;µg/m³;20180409 23:00;20180410 00:00;50.992;6.751;8.085;7.719;24.412
NH3;uur;µg/m³;20180410 00:00;20180410 01:00;52.467;6.871;9.712;8.227;29.702
NH3;uur;µg/m³;20180410 01:00;20180410 02:00;32.735;7.634;12.925;12.723;36.69
NH3;uur;µg/m³;20180410 02:00;20180410 03:00;25.211;8.15;13.048;17.355;26.468
NH3;uur;µg/m³;20180410 03:00;20180410 04:00;23.754;9.245;12.066;17.741;22.195
NH3;uur;µg/m³;20180410 04:00;20180410 05:00;24.592;11.834;13.912;20.231;20.264
NH3;uur;µg/m³;20180410 05:00;20180410 06:00;31.455;15.346;17.955;17.827;17.355
NH3;uur;µg/m³;20180410 06:00;20180410 07:00;24.362;11.822;;14.997;25.475
NH3;uur;µg/m³;20180410 07:00;20180410 08:00;24.764;12.317;;13.009;30.902
NH3;uur;µg/m³;20180410 08:00;20180410 09:00;25.475;12.584;16.793;13.507;20.337
NH3;uur;µg/m³;20180410 09:00;20180410 10:00;18.423;12.022;14.574;11.99;10.156
NH3;uur;µg/m³;20180410 10:00;20180410 11:00;17.161;8.661;10.444;11.382;8.013
NH3;uur;µg/m³;20180410 11:00;20180410 12:00;17.485;8.117;11.538;14.277;8.659
NH3;uur;µg/m³;20180410 12:00;20180410 13:00;17.042;8.286;12.49;14.36;7.721
NH3;uur;µg/m³;20180410 13:00;20180410 14:00;18.492;8.974;12.333;13.306;7.499
NH3;uur;µg/m³;20180410 14:00;20180410 15:00;18.05;9.956;11.255;13.991;5.588
NH3;uur;µg/m³;20180410 15:00;20180410 16:00;48.564;9.411;16.568;12.837;9.124
NH3;uur;µg/m³;20180410 16:00;20180410 17:00;45.929;10.123;19.707;15.771;11.892
NH3;uur;µg/m³;20180410 17:00;20180410 18:00;25.298;10.023;26.775;24.425;12.484
NH3;uur;µg/m³;20180410 18:00;20180410 19:00;43.974;9.119;28.311;31.794;25.486
NH3;uur;µg/m³;20180410 19:00;20180410 20:00;53.341;6.272;17.634;20.081;35.937
NH3;uur;µg/m³;20180410 20:00;20180410 21:00;43.791;9.741;25.338;30.733;39.891
NH3;uur;µg/m³;20180410 21:00;20180410 22:00;21.883;9.097;31.813;30.941;26.908
NH3;uur;µg/m³;20180410 22:00;20180410 23:00;8.584;8.429;29.518;26.985;25.413
NH3;uur;µg/m³;20180410 23:00;20180411 00:00;14.714;11.666;31.756;20.54;21.717
NH3;uur;µg/m³;20180411 00:00;20180411 01:00;11.952;12.28;32.926;9.299;30.33
NH3;uur;µg/m³;20180411 01:00;20180411 02:00;18.47;7.42;30.752;7.697;40.593
NH3;uur;µg/m³;20180411 02:00;20180411 03:00;18.844;7.699;28.957;22.312;36.358
NH3;uur;µg/m³;20180411 03:00;20180411 04:00;22.417;11.028;26.593;18.699;39.578
NH3;uur;µg/m³;20180411 04:00;20180411 05:00;23.647;;24.54;24.159;42.051
NH3;uur;µg/m³;20180411 05:00;20180411 06:00;27.295;;20.637;19.968;29.037
NH3;uur;µg/m³;20180411 06:00;20180411 07:00;28.164;9.595;;;38.794
NH3;uur;µg/m³;20180411 07:00;20180411 08:00;29.341;10.339;;15.629;22.463
NH3;uur;µg/m³;20180411 08:00;20180411 09:00;26.125;15.378;16.461;17.686;15.525
NH3;uur;µg/m³;20180411 09:00;20180411 10:00;50.699;15.191;20.854;15.924;15.177
NH3;uur;µg/m³;20180411 10:00;20180411 11:00;58.935;;24.65;14.747;14.679
NH3;uur;µg/m³;20180411 11:00;20180411 12:00;74.479;11.985;29.524;16.371;15.769
NH3;uur;µg/m³;20180411 12:00;20180411 13:00;85.835;15.685;36.337;16.383;14.793
NH3;uur;µg/m³;20180411 13:00;20180411 14:00;49.129;15.04;59.17;16.898;15.906
NH3;uur;µg/m³;20180411 14:00;20180411 15:00;28.964;15.249;80.435;18.98;16.372
NH3;uur;µg/m³;20180411 15:00;20180411 16:00;32.408;14.792;83.53;18.438;20.139
NH3;uur;µg/m³;20180411 16:00;20180411 17:00;29.869;14.754;85.732;18.429;22.431
NH3;uur;µg/m³;20180411 17:00;20180411 18:00;27.291;15.934;97.269;17.667;21.924
NH3;uur;µg/m³;20180411 18:00;20180411 19:00;31.597;14.371;117.949;18.823;30.267
NH3;uur;µg/m³;20180411 19:00;20180411 20:00;28.566;16.004;111.622;24.757;32.676
NH3;uur;µg/m³;20180411 20:00;20180411 21:00;15.424;16.2;102.035;18.045;29.575
NH3;uur;µg/m³;20180411 21:00;20180411 22:00;30.888;16.062;85.481;22.052;37.435
NH3;uur;µg/m³;20180411 22:00;20180411 23:00;44.501;17.101;71.611;24.694;24.702
NH3;uur;µg/m³;20180411 23:00;20180412 00:00;72.275;20.334;39.278;22.056;21.03
NH3;uur;µg/m³;20180412 00:00;20180412 01:00;81.536;19.427;33.713;23.883;21.121
NH3;uur;µg/m³;20180412 01:00;20180412 02:00;90.022;16.709;32.32;17.121;16.834
NH3;uur;µg/m³;20180412 02:00;20180412 03:00;153.982;14.484;46.938;16.914;15.496
NH3;uur;µg/m³;20180412 03:00;20180412 04:00;148.964;11.699;55.154;16.314;14.287
NH3;uur;µg/m³;20180412 04:00;20180412 05:00;94.54;9.892;48.833;12.895;13.249
NH3;uur;µg/m³;20180412 05:00;20180412 06:00;82.661;8.672;67.754;11.97;12.172
NH3;uur;µg/m³;20180412 06:00;20180412 07:00;132.552;8.185;;12.191;10.841
NH3;uur;µg/m³;20180412 07:00;20180412 08:00;84.709;7.885;;13.151;10.017
NH3;uur;µg/m³;20180412 08:00;20180412 09:00;85.408;7.244;57.422;13.101;9.743
NH3;uur;µg/m³;20180412 09:00;20180412 10:00;83.382;7.816;57.423;10.945;10.36
NH3;uur;µg/m³;20180412 10:00;20180412 11:00;78.714;8.486;64.55;10.838;11.121
NH3;uur;µg/m³;20180412 11:00;20180412 12:00;48.755;8.214;68.428;11.413;11.074
NH3;uur;µg/m³;20180412 12:00;20180412 13:00;43.613;9.521;69.122;12.573;11.803
NH3;uur;µg/m³;20180412 13:00;20180412 14:00;73.587;11.741;77.107;13.001;12.505
NH3;uur;µg/m³;20180412 14:00;20180412 15:00;71.449;12.413;77.981;14.403;14.022
NH3;uur;µg/m³;20180412 15:00;20180412 16:00;74.248;10.387;78.676;22.575;15.92
NH3;uur;µg/m³;20180412 16:00;20180412 17:00;79.163;10.073;83.072;16.339;18.612
NH3;uur;µg/m³;20180412 17:00;20180412 18:00;49.242;12.817;44.883;18.785;19.999
NH3;uur;µg/m³;20180412 18:00;20180412 19:00;40.306;13.943;21.931;17.776;23.011
NH3;uur;µg/m³;20180412 19:00;20180412 20:00;72.949;17.095;36.955;15.663;23.588
NH3;uur;µg/m³;20180412 20:00;20180412 21:00;47.116;14.273;54.146;25.841;42.439
NH3;uur;µg/m³;20180412 21:00;20180412 22:00;29.419;11.425;110.16;29.497;46.074
NH3;uur;µg/m³;20180412 22:00;20180412 23:00;37.607;6.311;90.73;26.851;37.544
NH3;uur;µg/m³;20180412 23:00;20180413 00:00;25.005;;42.357;47.567;34.321
NH3;uur;µg/m³;20180413 00:00;20180413 01:00;16.633;;35.21;43.49;23.106
NH3;uur;µg/m³;20180413 01:00;20180413 02:00;12.084;;107.943;49.673;39.049
NH3;uur;µg/m³;20180413 02:00;20180413 03:00;9.102;;34.481;;34.014
NH3;uur;µg/m³;20180413 03:00;20180413 04:00;;;59.323;;37.065
NH3;uur;µg/m³;20180413 04:00;20180413 05:00;;;65.762;39.346;37.729
NH3;uur;µg/m³;20180413 05:00;20180413 06:00;;;42.407;30.763;46.715
NH3;uur;µg/m³;20180413 06:00;20180413 07:00;;;;25.235;40.814
NH3;uur;µg/m³;20180413 07:00;20180413 08:00;;;;16.386;51.436
NH3;uur;µg/m³;20180413 08:00;20180413 09:00;31.134;;20.502;21.203;31.701
NH3;uur;µg/m³;20180413 09:00;20180413 10:00;34.204;8.931;13.375;15.697;17.931
NH3;uur;µg/m³;20180413 10:00;20180413 11:00;18.914;5.61;13.19;9.603;10.087
NH3;uur;µg/m³;20180413 11:00;20180413 12:00;10.996;5.052;11.292;5.648;9.307
NH3;uur;µg/m³;20180413 12:00;20180413 13:00;9.182;4.852;10.759;5.49;9.142
NH3;uur;µg/m³;20180413 13:00;20180413 14:00;11.982;1.157;11.923;7.671;14.442
NH3;uur;µg/m³;20180413 14:00;20180413 15:00;18.84;0.951;9.583;7.057;24.721
NH3;uur;µg/m³;20180413 15:00;20180413 16:00;15.972;0.653;10.798;4.697;9.491
NH3;uur;µg/m³;20180413 16:00;20180413 17:00;15.514;0.653;9.487;3.298;16.704
NH3;uur;µg/m³;20180413 17:00;20180413 18:00;24.42;0.726;10.268;3.733;39.349
NH3;uur;µg/m³;20180413 18:00;20180413 19:00;24.748;0.735;9.395;4.277;38.945
NH3;uur;µg/m³;20180413 19:00;20180413 20:00;26.788;;9.234;4.269;55.369
NH3;uur;µg/m³;20180413 20:00;20180413 21:00;38.053;1.255;8.713;3.441;57.416
NH3;uur;µg/m³;20180413 21:00;20180413 22:00;38.564;0.821;6.477;4.377;31.946
NH3;uur;µg/m³;20180413 22:00;20180413 23:00;21.779;0.673;6.254;5.09;74.705
NH3;uur;µg/m³;20180413 23:00;20180414 00:00;14.941;;6.098;11.187;35.264
NH3;uur;µg/m³;20180414 00:00;20180414 01:00;34.475;;7.354;8.116;27.793
NH3;uur;µg/m³;20180414 01:00;20180414 02:00;61.609;;8.146;4.373;82.854
NH3;uur;µg/m³;20180414 02:00;20180414 03:00;44.382;;8.575;5.004;53.037
NH3;uur;µg/m³;20180414 03:00;20180414 04:00;58.804;;;7.546;31.903
NH3;uur;µg/m³;20180414 04:00;20180414 05:00;32.894;0.875;;5.233;14.512
NH3;uur;µg/m³;20180414 05:00;20180414 06:00;32.944;0.884;12.487;5.512;10.927
NH3;uur;µg/m³;20180414 06:00;20180414 07:00;23.207;1.223;;7.391;23.192
NH3;uur;µg/m³;20180414 07:00;20180414 08:00;38.171;1.674;;5.794;24.503
NH3;uur;µg/m³;20180414 08:00;20180414 09:00;25.043;0.888;;3.013;38.345
NH3;uur;µg/m³;20180414 09:00;20180414 10:00;11.378;0.298;;3.217;14.328
NH3;uur;µg/m³;20180414 10:00;20180414 11:00;13.022;0.834;;2.063;10.885
NH3;uur;µg/m³;20180414 11:00;20180414 12:00;12.003;0.933;;1.709;15.543
NH3;uur;µg/m³;20180414 12:00;20180414 13:00;8.835;1.006;;1.892;17.054
NH3;uur;µg/m³;20180414 13:00;20180414 14:00;9.339;0.959;;1.932;21.512
NH3;uur;µg/m³;20180414 14:00;20180414 15:00;11.045;0.767;;2.281;20.387
NH3;uur;µg/m³;20180414 15:00;20180414 16:00;12.013;0.773;;2.918;17.816
NH3;uur;µg/m³;20180414 16:00;20180414 17:00;15.828;0.76;;4.097;14.772
NH3;uur;µg/m³;20180414 17:00;20180414 18:00;20.547;0.662;;3.155;14.438
NH3;uur;µg/m³;20180414 18:00;20180414 19:00;44.324;0.818;;3.141;12.976
NH3;uur;µg/m³;20180414 19:00;20180414 20:00;194.244;0.863;;11.831;23.058
NH3;uur;µg/m³;20180414 20:00;20180414 21:00;182.492;0.783;;5.974;18.723
NH3;uur;µg/m³;20180414 21:00;20180414 22:00;134.407;0.834;;12.347;22.106
NH3;uur;µg/m³;20180414 22:00;20180414 23:00;97.651;1.036;;18.67;24.485
NH3;uur;µg/m³;20180414 23:00;20180415 00:00;107.88;2.812;;22.75;30.561
NH3;uur;µg/m³;20180415 00:00;20180415 01:00;34.705;5.454;;18.386;22.949
NH3;uur;µg/m³;20180415 01:00;20180415 02:00;34.543;6.251;;9.783;18.08
NH3;uur;µg/m³;20180415 02:00;20180415 03:00;26.187;3.751;;10.874;16.116
NH3;uur;µg/m³;20180415 03:00;20180415 04:00;23.544;3.686;;9.156;15.051
NH3;uur;µg/m³;20180415 04:00;20180415 05:00;28.191;3.754;;12.806;13.644
NH3;uur;µg/m³;20180415 05:00;20180415 06:00;21.489;5.104;;8.836;8.649
NH3;uur;µg/m³;20180415 06:00;20180415 07:00;17.987;6.064;;10.344;9.573
NH3;uur;µg/m³;20180415 07:00;20180415 08:00;18.99;6.711;;10.793;11.856
NH3;uur;µg/m³;20180415 08:00;20180415 09:00;17.004;6.092;;9.188;12.129
NH3;uur;µg/m³;20180415 09:00;20180415 10:00;13.488;;9.678;7.098;13.355
NH3;uur;µg/m³;20180415 10:00;20180415 11:00;12.328;4.542;10.712;5.52;13.993
NH3;uur;µg/m³;20180415 11:00;20180415 12:00;11.716;3.723;11.755;4.52;12.453
NH3;uur;µg/m³;20180415 12:00;20180415 13:00;12.322;3.369;12.418;4.562;13.639
NH3;uur;µg/m³;20180415 13:00;20180415 14:00;11.772;2.995;15.498;3.712;10.907
NH3;uur;µg/m³;20180415 14:00;20180415 15:00;11.549;2.374;15.596;4.639;11.439
NH3;uur;µg/m³;20180415 15:00;20180415 16:00;10.653;2.516;15.174;5.881;9.058
NH3;uur;µg/m³;20180415 16:00;20180415 17:00;11.337;2.836;10.264;6.175;10.218
NH3;uur;µg/m³;20180415 17:00;20180415 18:00;13.576;3.034;10.962;9.177;12.961
NH3;uur;µg/m³;20180415 18:00;20180415 19:00;16.947;2.815;11.91;6.415;20.72
NH3;uur;µg/m³;20180415 19:00;20180415 20:00;22.512;2.795;18.446;13.254;28.334
NH3;uur;µg/m³;20180415 20:00;20180415 21:00;28.209;2.681;21.531;18.476;56.008
NH3;uur;µg/m³;20180415 21:00;20180415 22:00;30.749;3.169;17.041;11.418;38.669
NH3;uur;µg/m³;20180415 22:00;20180415 23:00;35.036;2.954;18.604;14.694;33.992
NH3;uur;µg/m³;20180415 23:00;20180416 00:00;46.347;5.389;14.558;15.518;34.328
NH3;uur;µg/m³;20180416 00:00;20180416 01:00;49.832;1.925;12.094;4.927;31.244
NH3;uur;µg/m³;20180416 01:00;20180416 02:00;36.956;1.759;15.551;7.317;27.105
NH3;uur;µg/m³;20180416 02:00;20180416 03:00;32.424;2.091;9.695;15.932;22.806
NH3;uur;µg/m³;20180416 03:00;20180416 04:00;28.262;;10.294;20.7;24.114
NH3;uur;µg/m³;20180416 04:00;20180416 05:00;26.551;;10.094;17.146;13.134
NH3;uur;µg/m³;20180416 05:00;20180416 06:00;27.201;;10.734;21.273;24.462
NH3;uur;µg/m³;20180416 06:00;20180416 07:00;;;;12.588;25.349
NH3;uur;µg/m³;20180416 07:00;20180416 08:00;19.386;1.284;;4.211;19.034
NH3;uur;µg/m³;20180416 08:00;20180416 09:00;16.292;1.347;7.168;3.425;16.846
NH3;uur;µg/m³;20180416 09:00;20180416 10:00;15.698;1.375;5.377;;18.527
NH3;uur;µg/m³;20180416 10:00;20180416 11:00;13.761;1.193;5.339;2.12;17.788
NH3;uur;µg/m³;20180416 11:00;20180416 12:00;13.963;1.176;5.388;1.707;17.059
NH3;uur;µg/m³;20180416 12:00;20180416 13:00;13.139;1.209;5.6;1.931;15.752
NH3;uur;µg/m³;20180416 13:00;20180416 14:00;12.662;1.04;5.455;2.018;16.965
NH3;uur;µg/m³;20180416 14:00;20180416 15:00;12.508;0.844;5.932;2.256;14.652
NH3;uur;µg/m³;20180416 15:00;20180416 16:00;13.913;0.766;5.962;2.5;14.196
NH3;uur;µg/m³;20180416 16:00;20180416 17:00;12.13;0.8;5.3;2.394;15.234
NH3;uur;µg/m³;20180416 17:00;20180416 18:00;13.288;0.679;5.278;2.22;20.597
NH3;uur;µg/m³;20180416 18:00;20180416 19:00;15.271;0.801;7.623;3.092;25.513
NH3;uur;µg/m³;20180416 19:00;20180416 20:00;15.894;0.808;9.785;4.529;21.53
NH3;uur;µg/m³;20180416 20:00;20180416 21:00;22.395;0.991;6.464;5.474;32.562
NH3;uur;µg/m³;20180416 21:00;20180416 22:00;22.269;1.08;7.975;17.089;32.659
NH3;uur;µg/m³;20180416 22:00;20180416 23:00;27.139;0.964;9.341;21.655;35.375
NH3;uur;µg/m³;20180416 23:00;20180417 00:00;18.851;;9.143;21.221;34.831
NH3;uur;µg/m³;20180417 00:00;20180417 01:00;16.703;;8.734;16.906;43.305
NH3;uur;µg/m³;20180417 01:00;20180417 02:00;12.662;;8.22;17.59;36.356
NH3;uur;µg/m³;20180417 02:00;20180417 03:00;8.914;;8.72;13.485;46.134
NH3;uur;µg/m³;20180417 03:00;20180417 04:00;5.707;;8.864;15.556;47.187
NH3;uur;µg/m³;20180417 04:00;20180417 05:00;13.266;;9.15;12.569;32.568
NH3;uur;µg/m³;20180417 05:00;20180417 06:00;32.498;;9.117;14.125;23.732
NH3;uur;µg/m³;20180417 06:00;20180417 07:00;33.763;;;15.507;32.462
NH3;uur;µg/m³;20180417 07:00;20180417 08:00;44.281;5.861;;9.989;25.911
NH3;uur;µg/m³;20180417 08:00;20180417 09:00;25.002;7.883;7.375;9.719;12.49
NH3;uur;µg/m³;20180417 09:00;20180417 10:00;19.629;7.947;8.128;9.141;12.136
NH3;uur;µg/m³;20180417 10:00;20180417 11:00;16.115;4.732;10.416;8.343;11.682
NH3;uur;µg/m³;20180417 11:00;20180417 12:00;13.746;3.777;7.846;4.782;11.366
NH3;uur;µg/m³;20180417 12:00;20180417 13:00;15.603;4.111;7.456;4.282;12.512
NH3;uur;µg/m³;20180417 13:00;20180417 14:00;14.542;4.666;6.383;4.293;12.684
NH3;uur;µg/m³;20180417 14:00;20180417 15:00;15.262;4.867;7.628;5.201;12.31
NH3;uur;µg/m³;20180417 15:00;20180417 16:00;15.782;4.177;9.071;5.46;14.16
NH3;uur;µg/m³;20180417 16:00;20180417 17:00;14.882;5.111;9.243;5.843;14.547
NH3;uur;µg/m³;20180417 17:00;20180417 18:00;14.486;6.1;9.031;7.346;14.153
NH3;uur;µg/m³;20180417 18:00;20180417 19:00;14.438;5.941;11.56;14.928;12.247
NH3;uur;µg/m³;20180417 19:00;20180417 20:00;17.769;6.159;12.906;35.042;19.549
NH3;uur;µg/m³;20180417 20:00;20180417 21:00;12.948;4.287;14.724;17.332;39.581
NH3;uur;µg/m³;20180417 21:00;20180417 22:00;13.233;3.466;17.103;24.343;57.738
NH3;uur;µg/m³;20180417 22:00;20180417 23:00;16.535;2.645;21.831;32.695;35.8
NH3;uur;µg/m³;20180417 23:00;20180418 00:00;31.228;2.751;14.808;27.788;42.969
NH3;uur;µg/m³;20180418 00:00;20180418 01:00;19.622;1.888;25.171;20.88;44.761
NH3;uur;µg/m³;20180418 01:00;20180418 02:00;19.834;1.537;19.949;33.605;54.047
NH3;uur;µg/m³;20180418 02:00;20180418 03:00;18.97;;20.88;30.841;44.005
NH3;uur;µg/m³;20180418 03:00;20180418 04:00;18.249;;43.044;25.971;55.284
NH3;uur;µg/m³;20180418 04:00;20180418 05:00;19.89;;21.113;21.366;52.413
NH3;uur;µg/m³;20180418 05:00;20180418 06:00;23.254;;18.297;20.584;59.258
NH3;uur;µg/m³;20180418 06:00;20180418 07:00;25.549;;;22.679;69.434
NH3;uur;µg/m³;20180418 07:00;20180418 08:00;49.65;14.709;;20.879;59.423
NH3;uur;µg/m³;20180418 08:00;20180418 09:00;48.658;14.21;19.512;19.828;30.204
NH3;uur;µg/m³;20180418 09:00;20180418 10:00;27.554;11.885;16.965;16.456;14.029
NH3;uur;µg/m³;20180418 10:00;20180418 11:00;21.688;8.865;17.354;11.974;13.15
NH3;uur;µg/m³;20180418 11:00;20180418 12:00;16.351;10.379;16.828;9.27;10.465
NH3;uur;µg/m³;20180418 12:00;20180418 13:00;15.926;6.841;14.278;7.553;11.902
NH3;uur;µg/m³;20180418 13:00;20180418 14:00;16.944;6.706;12.82;6.686;10.759
NH3;uur;µg/m³;20180418 14:00;20180418 15:00;19.43;6.841;11.422;7.609;13.352
NH3;uur;µg/m³;20180418 15:00;20180418 16:00;16.931;7.564;10.991;11.939;14.694
NH3;uur;µg/m³;20180418 16:00;20180418 17:00;17.267;7.659;20.937;14.77;15.268
