Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10133;NL10318;NL10444;NL10644;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20180101 19:00;20180101 20:00;8.6;8.8;2.2;2.6;;;0.32;;-0.93;0.32;0.23;0.2;1.7;3.2;2
SO2;uur;µg/m³;20180101 20:00;20180101 21:00;13.9;4.2;2.3;2.6;;;0.31;;-0.36;0.34;0.21;0.1;1.1;;1.5
SO2;uur;µg/m³;20180101 21:00;20180101 22:00;6.6;1.8;1.8;2.4;;;0.26;;-0.63;0.24;0.26;0.1;2.8;2.8;1.3
SO2;uur;µg/m³;20180101 22:00;20180101 23:00;5.5;0.8;1.3;2.1;;;0.3;;0.14;0.2;0.25;0.1;1.9;2.8;1.1
SO2;uur;µg/m³;20180101 23:00;20180102 00:00;5;0.3;1.1;2.7;;;0.27;;-0.42;0.16;0.27;0.2;1.1;2.2;1.3
SO2;uur;µg/m³;20180102 00:00;20180102 01:00;5.5;1.7;1.7;2.2;;;0.25;;-0.03;0.16;0.22;0.1;3;2.4;1.5
SO2;uur;µg/m³;20180102 01:00;20180102 02:00;13.4;11;3.8;1.7;;;0.26;;-0.16;0.17;0.16;0.1;1.4;1.6;1.3
SO2;uur;µg/m³;20180102 02:00;20180102 03:00;9.1;19.9;2;1.6;;;0.23;;-0.1;0.15;0.21;0;0.9;2;1.1
SO2;uur;µg/m³;20180102 03:00;20180102 04:00;5.8;10.5;0.9;1.7;;;0.27;;-0.52;0.17;0.22;0.1;2.7;1.6;1.2
SO2;uur;µg/m³;20180102 04:00;20180102 05:00;5.5;9;0.7;1;;;0.43;;-0.3;0.18;-0.11;0.1;2;2.5;1.5
SO2;uur;µg/m³;20180102 05:00;20180102 06:00;5.6;16.3;0.7;0.8;;;0.37;;-0.11;0.21;-0.07;0.2;1;2.8;3.3
SO2;uur;µg/m³;20180102 06:00;20180102 07:00;4.9;9.7;0.5;0.6;;;0.28;;-0.02;0.2;-0.1;0.3;2.8;2.4;2.6
