Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20200101 19:00;20200101 20:00;0.4;-0.4;0.8;1.7;0.37;0.16;2.37;0.09;0.2;0.04;0.1;4;22.8;0
SO2;uur;µg/m³;20200101 20:00;20200101 21:00;1.2;-0.2;1.1;1.5;0.41;0.14;2.85;0.09;0.33;-0.03;0.2;4.3;19.4;-0.2
SO2;uur;µg/m³;20200101 21:00;20200101 22:00;0.4;0.1;1.2;1.5;0.39;0.14;0.86;0.49;0.4;0;0.2;3.9;15.1;-0.3
SO2;uur;µg/m³;20200101 22:00;20200101 23:00;1.8;0.2;1.2;1;0.34;0.11;0.74;0.78;0.45;-0.04;0.3;3.9;5.9;-0.1
SO2;uur;µg/m³;20200101 23:00;20200102 00:00;1.9;-0.2;0.6;1.1;0.28;0.1;1.08;0.74;0.63;-0.03;0.2;4.4;4.6;-0.4
SO2;uur;µg/m³;20200102 00:00;20200102 01:00;1.9;-0.1;0.5;0.8;0.2;0.11;1.09;0.71;0.82;0;0.2;3.7;4.3;-0.2
SO2;uur;µg/m³;20200102 01:00;20200102 02:00;0.9;0.3;0.3;0.8;0.18;0.14;0.89;0.26;0.8;-0.03;0.2;3.6;5.7;-0.3
SO2;uur;µg/m³;20200102 02:00;20200102 03:00;1.2;0.1;0.4;0.9;0.19;0.1;0.55;0.22;0.48;0;0.2;2.9;6.9;-0.3
SO2;uur;µg/m³;20200102 03:00;20200102 04:00;1.1;0.2;0.3;1.1;0.16;0.1;0.3;0.18;0.36;-0.02;0.2;2.7;5.7;-0.3
SO2;uur;µg/m³;20200102 04:00;20200102 05:00;0.8;0.6;0.6;1;0.07;0.13;0.85;0.11;0.2;0.11;0.2;;9.6;-0.4
SO2;uur;µg/m³;20200102 05:00;20200102 06:00;1;0.6;0.5;1.5;0.1;0.16;0.85;0.2;0.18;0.11;0.2;3.2;16.1;-0.1
SO2;uur;µg/m³;20200102 06:00;20200102 07:00;1.3;0.1;0.5;1.6;0.1;0.17;0.65;0.18;0.15;0.08;0.1;2.9;11.5;-0.1
SO2;uur;µg/m³;20200102 07:00;20200102 08:00;0.5;0.2;0.2;1;0.12;0.18;0.77;0.12;0.16;0.09;0.2;2.7;16.9;-0.1
SO2;uur;µg/m³;20200102 08:00;20200102 09:00;0.8;0.4;0.4;1.2;0.15;0.15;1.71;0.13;0.18;0.14;0.2;3.5;19.6;-0.2
SO2;uur;µg/m³;20200102 09:00;20200102 10:00;0.8;0.3;0.5;1.4;0.13;0.19;1.67;0.12;0.13;0.13;0.2;3.5;10.9;0
SO2;uur;µg/m³;20200102 10:00;20200102 11:00;-0.8;0.6;0.4;1.6;0.28;0.15;1.95;0.16;0.13;0.12;0.2;3.9;17.7;-0.1
SO2;uur;µg/m³;20200102 11:00;20200102 12:00;1.1;0.9;0.5;1.5;0.34;0.19;1.47;0.16;0.16;0.1;0.3;3.6;12.8;0.1
SO2;uur;µg/m³;20200102 12:00;20200102 13:00;1.2;1.3;0.5;1.3;0.42;0.2;1.06;0.17;0.15;0.07;0.3;3.2;6.7;0.2
SO2;uur;µg/m³;20200102 13:00;20200102 14:00;0.5;1.2;0.4;1.5;0.43;0.2;1.01;0.16;0.17;0.11;0.3;3.9;6;0.2
SO2;uur;µg/m³;20200102 14:00;20200102 15:00;1.5;0.4;0.6;1.8;0.39;0.17;1.43;0.19;0.19;0.12;1;3.6;12.4;0
SO2;uur;µg/m³;20200102 15:00;20200102 16:00;0.6;0.8;0.4;1.8;0.38;0.15;1.66;0.26;0.69;0.12;0.5;3.2;21.5;0.3
SO2;uur;µg/m³;20200102 16:00;20200102 17:00;-0.2;0.8;0.8;2.1;0.27;0.16;1.84;0.35;0.7;0.12;0.5;3.4;37.7;0.2
SO2;uur;µg/m³;20200102 17:00;20200102 18:00;1.3;0.9;0.7;2.5;0.25;0.14;1.21;0.29;0.51;0.09;0.4;3.1;34.3;0.1
SO2;uur;µg/m³;20200102 18:00;20200102 19:00;1.6;0.7;0.7;3.1;0.21;0.14;1.71;0.2;0.75;0.1;0.3;3.1;27.6;0.2
SO2;uur;µg/m³;20200102 19:00;20200102 20:00;1.6;0.4;0.8;3.2;0.18;0.18;1.86;0.38;0.86;0.12;0.3;3.7;21.9;0
SO2;uur;µg/m³;20200102 20:00;20200102 21:00;1.6;0.8;0.6;2.6;0.16;0.18;2.3;0.29;0.54;0.11;0.2;3.6;22.9;-0.1
SO2;uur;µg/m³;20200102 21:00;20200102 22:00;1.8;-2.6;1;4.2;0.19;0.19;2.19;0.37;0.56;0.09;0.2;3.7;27.4;-0.2
SO2;uur;µg/m³;20200102 22:00;20200102 23:00;1.9;0;1.1;4.4;0.17;0.18;1.95;0.38;0.46;0.16;0.2;3.5;47.6;0
SO2;uur;µg/m³;20200102 23:00;20200103 00:00;2.3;0.6;1.2;5.8;0.2;0.19;1.27;0.45;0.43;0.17;0.2;3.8;41.7;0
SO2;uur;µg/m³;20200103 00:00;20200103 01:00;2.9;0.2;1.4;3.7;0.18;0.16;1.12;0.66;0.37;0.16;0.2;4;32;-0.1
SO2;uur;µg/m³;20200103 01:00;20200103 02:00;6.6;0.7;1.6;3.2;0.18;0.18;1.26;0.63;0.42;0.24;0.2;3.7;32.9;0
SO2;uur;µg/m³;20200103 02:00;20200103 03:00;5.2;0.8;1.9;2.5;0.19;0.17;1.24;0.58;0.39;0.27;0.2;4;;-0.1
SO2;uur;µg/m³;20200103 03:00;20200103 04:00;7.6;1;2;2.3;0.22;0.18;1.23;0.7;0.4;0.26;0.2;3.4;13.9;-0.3
SO2;uur;µg/m³;20200103 04:00;20200103 05:00;12.3;0.7;2;2.2;0.52;0.04;1.53;0.76;0.42;0.36;0.2;3.7;15;-0.4
SO2;uur;µg/m³;20200103 05:00;20200103 06:00;12.4;0.7;2;2;0.49;0.07;1.4;0.66;0.39;0.32;0.2;3.3;14.6;-0.4
SO2;uur;µg/m³;20200103 06:00;20200103 07:00;17.2;2;1.9;1.8;0.49;0.08;1.35;0.61;0.35;0.3;0.2;3.2;14.2;-0.5
SO2;uur;µg/m³;20200103 07:00;20200103 08:00;7.3;1;1.9;1.9;0.47;0.01;1.55;0.7;0.36;0.3;0.1;3;20.1;-0.4
SO2;uur;µg/m³;20200103 08:00;20200103 09:00;7.2;0.6;1.4;1.8;0.5;0.02;1.12;0.65;0.34;0.27;0.1;3;17.9;-0.3
SO2;uur;µg/m³;20200103 09:00;20200103 10:00;18.5;0.3;1.2;1.5;0.5;0.01;0.74;0.44;0.32;0.25;0.1;2.9;10.9;-0.6
SO2;uur;µg/m³;20200103 10:00;20200103 11:00;10.9;0.3;1.4;1.6;0.52;0.01;0.73;0.36;0.32;0.23;0.2;;4.8;-0.7
SO2;uur;µg/m³;20200103 11:00;20200103 12:00;4.1;0.5;1.2;1.7;0.65;0.03;0.61;0.35;0.29;0.21;0.2;;3.3;-0.9
SO2;uur;µg/m³;20200103 12:00;20200103 13:00;2.4;0.5;0.9;2;0.65;0.04;0.51;0.35;0.29;0.25;0.2;;1.7;-0.8
SO2;uur;µg/m³;20200103 13:00;20200103 14:00;4.7;0.6;0.9;1.8;0.65;0.04;0.49;0.54;0.3;0.29;0.1;;1.6;-0.9
SO2;uur;µg/m³;20200103 14:00;20200103 15:00;7.2;1.5;1;1.1;0.6;-0.01;0.37;0.37;0.34;0.18;0.1;;1.5;-1
SO2;uur;µg/m³;20200103 15:00;20200103 16:00;2.1;1.3;0.5;1;0.59;-0.04;0.31;0.34;0.29;0.13;0;;0.9;-1.1
SO2;uur;µg/m³;20200103 16:00;20200103 17:00;1.5;1.1;0.2;0.8;0.58;-0.07;0.27;0.25;0.27;0.13;0;;0.8;-1.2
SO2;uur;µg/m³;20200103 17:00;20200103 18:00;1.6;6;0.4;0.8;0.64;-0.1;0.25;0.28;0.17;0.11;0;;1.2;-1
SO2;uur;µg/m³;20200103 18:00;20200103 19:00;0.8;10.5;0.3;0.6;0.53;-0.08;0.24;0.08;0.14;0.11;0.1;;1.3;-1
SO2;uur;µg/m³;20200103 19:00;20200103 20:00;0.5;6.8;0.1;0.6;0.39;-0.07;0.22;0.06;0.13;0.11;0;;0.6;-1.1
SO2;uur;µg/m³;20200103 20:00;20200103 21:00;3;1.9;0.1;0.4;0.36;-0.08;0.24;0.1;0.06;0.1;-0.1;;0.8;-1
SO2;uur;µg/m³;20200103 21:00;20200103 22:00;2.5;3.7;0.5;0.7;0.73;-0.09;0.22;0.13;0.08;0.1;-0.1;;1.6;0.8
SO2;uur;µg/m³;20200103 22:00;20200103 23:00;2.7;20.2;0.6;0.6;0.5;-0.11;0.23;0.16;0.05;0.11;-0.1;;1;0.4
SO2;uur;µg/m³;20200103 23:00;20200104 00:00;3.5;27.1;0.3;0.5;0.46;-0.12;0.53;0.15;0.04;0.16;-0.1;;0.3;0.6
SO2;uur;µg/m³;20200104 00:00;20200104 01:00;4.1;36.8;1.1;1.7;0.4;-0.1;0.52;0.17;0.08;0.12;-0.2;;0.5;0.8
SO2;uur;µg/m³;20200104 01:00;20200104 02:00;2.4;43.1;0.8;1.2;0.44;-0.09;0.5;0.2;0.08;0.16;-0.2;;1;0.5
SO2;uur;µg/m³;20200104 02:00;20200104 03:00;3.2;34.5;0.6;0.6;0.59;-0.12;0.61;0.34;0.07;0.13;-0.1;;1.7;0.6
SO2;uur;µg/m³;20200104 03:00;20200104 04:00;3.9;40.6;0.6;0.9;0.74;-0.1;0.58;0.29;0.05;0.14;-0.2;;1;0.4
SO2;uur;µg/m³;20200104 04:00;20200104 05:00;2.8;38;0.6;0.9;0.54;-0.01;0.61;0.2;0.26;0.14;-0.2;;0.5;0.5
SO2;uur;µg/m³;20200104 05:00;20200104 06:00;5.8;30.6;0.8;0.9;0.42;-0.05;0.6;0.17;0.29;0.19;-0.2;;1.1;0.3
SO2;uur;µg/m³;20200104 06:00;20200104 07:00;21.5;6.2;2.2;1.6;0.45;-0.02;0.64;0.12;0.27;0.31;-0.1;;1.3;0.3
SO2;uur;µg/m³;20200104 07:00;20200104 08:00;22.3;4;4.1;1.4;0.45;-0.02;0.59;0.19;0.24;0.35;-0.1;;0.8;0.4
SO2;uur;µg/m³;20200104 08:00;20200104 09:00;13.3;23.7;5;1;0.38;0.02;0.53;0.19;0.29;0.29;-0.2;;0.5;0.3
SO2;uur;µg/m³;20200104 09:00;20200104 10:00;14.6;14.7;5.3;1.4;0.46;0;0.58;0.14;0.29;0.31;-0.2;;0.4;0.4
SO2;uur;µg/m³;20200104 10:00;20200104 11:00;7.4;29.7;5.2;0.6;0.47;0.08;0.53;0.13;0.31;0.19;-0.2;;1.2;0.6
SO2;uur;µg/m³;20200104 11:00;20200104 12:00;11;25.1;8;1.8;0.63;0.1;0.56;0.14;0.33;0.18;-0.1;;0.8;0.5
SO2;uur;µg/m³;20200104 12:00;20200104 13:00;10.3;18.4;4.9;1.3;0.67;0.1;0.57;0.2;0.33;0.16;-0.1;;1.4;0.5
SO2;uur;µg/m³;20200104 13:00;20200104 14:00;3.7;28.8;4.9;1.1;0.54;0.05;0.52;0.12;0.33;0.17;-0.1;;1.4;0.9
SO2;uur;µg/m³;20200104 14:00;20200104 15:00;1.8;26.8;2.3;1.1;0.61;0.1;0.48;0.16;0.27;0.14;-0.1;;0.6;1.3
SO2;uur;µg/m³;20200104 15:00;20200104 16:00;3.2;27;1.4;0.5;0.61;0.06;0.53;0.17;0.27;0.14;0.6;;1.4;2.2
