Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;stad;stad;stad;stad;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;achtergrond;industrie;industrie;achtergrond
;;;;Meetprincipe;Niet-dispersieve infrarood (NDIR);Niet-dispersieve infrarood (NDIR);Niet-dispersieve infrarood (NDIR);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC)
;;;;Meetopstelling;Thermo model 48w CO analyser              ;Thermo model 48w CO analyser              ;Thermo model 48w CO analyser              ;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser
;;;;Accreditatienummer;nvt;nvt;nvt;L426;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10644;NL10741;NL10742;NL49007;NL49012;NL49014;NL49551;NL49553;NL49561
CO;uur;µg/m³;20180102 10:00;20180102 11:00;158.78;351.88;225.44;232.1;311.5;170.2;217.7;188.5;233.7
CO;uur;µg/m³;20180102 11:00;20180102 12:00;166.69;338.28;209.48;205.7;247.5;139.6;223.8;184.5;224.8
CO;uur;µg/m³;20180102 12:00;20180102 13:00;214.99;333.54;193.93;239.9;269.2;136.6;221.3;193.8;225.5
CO;uur;µg/m³;20180102 13:00;20180102 14:00;160.04;342.31;206.66;244.7;302.6;127.3;209.5;190.9;218.2
CO;uur;µg/m³;20180102 14:00;20180102 15:00;172.86;338.98;218.14;286.7;359.9;151.3;221.9;201.3;258.4
CO;uur;µg/m³;20180102 15:00;20180102 16:00;271.29;308.66;260.39;329.1;389.7;132.9;225.5;328.1;272.1
CO;uur;µg/m³;20180102 16:00;20180102 17:00;222.32;372.12;251.1;;434.7;174;262.5;815.6;325.3
CO;uur;µg/m³;20180102 17:00;20180102 18:00;228.2;348.45;288.66;;503.5;220.6;303.1;615;390.9
CO;uur;µg/m³;20180102 18:00;20180102 19:00;194.55;287.81;251.31;;404.1;165.4;269.6;751.7;281.8
CO;uur;µg/m³;20180102 19:00;20180102 20:00;185.58;254.67;259.45;;317.2;114.6;230.5;240.4;250.1
