Export;EXP-2023-01 (20230706 17:10);;;StationsCode;NL49551;NL49553
H2S;uur;µg/m³;20170104 14:00;20170104 15:00;4.2;1.8
H2S;uur;µg/m³;20170104 15:00;20170104 16:00;3;1.5
H2S;uur;µg/m³;20170104 16:00;20170104 17:00;4.2;1.8
H2S;uur;µg/m³;20170104 17:00;20170104 18:00;6.6;1.9
H2S;uur;µg/m³;20170104 18:00;20170104 19:00;4.4;1.3
H2S;uur;µg/m³;20170104 19:00;20170104 20:00;5.8;1.3
H2S;uur;µg/m³;20170104 20:00;20170104 21:00;4.4;1.2
H2S;uur;µg/m³;20170104 21:00;20170104 22:00;3.7;1.4
H2S;uur;µg/m³;20170104 22:00;20170104 23:00;4.1;1.2
H2S;uur;µg/m³;20170104 23:00;20170105 00:00;4.8;1.2
H2S;uur;µg/m³;20170105 00:00;20170105 01:00;4.4;1.9
H2S;uur;µg/m³;20170105 01:00;20170105 02:00;6.1;1.6
H2S;uur;µg/m³;20170105 02:00;20170105 03:00;3.9;1.2
H2S;uur;µg/m³;20170105 03:00;20170105 04:00;2.7;1.6
H2S;uur;µg/m³;20170105 04:00;20170105 05:00;1.6;1
H2S;uur;µg/m³;20170105 05:00;20170105 06:00;1.5;1.3
H2S;uur;µg/m³;20170105 06:00;20170105 07:00;2.4;1.4
H2S;uur;µg/m³;20170105 07:00;20170105 08:00;2.1;1.9
H2S;uur;µg/m³;20170105 08:00;20170105 09:00;1.2;1.6
H2S;uur;µg/m³;20170105 09:00;20170105 10:00;1.6;1.3
H2S;uur;µg/m³;20170105 10:00;20170105 11:00;1.3;1.2
H2S;uur;µg/m³;20170105 11:00;20170105 12:00;1.3;1.6
H2S;uur;µg/m³;20170105 12:00;20170105 13:00;;1.3
H2S;uur;µg/m³;20170105 13:00;20170105 14:00;0.2;1.8
H2S;uur;µg/m³;20170105 14:00;20170105 15:00;0;1.3
H2S;uur;µg/m³;20170105 15:00;20170105 16:00;0.2;1.2
H2S;uur;µg/m³;20170105 16:00;20170105 17:00;0.2;1.6
H2S;uur;µg/m³;20170105 17:00;20170105 18:00;0;1.5
H2S;uur;µg/m³;20170105 18:00;20170105 19:00;0;1.6
H2S;uur;µg/m³;20170105 19:00;20170105 20:00;0;1.5
H2S;uur;µg/m³;20170105 20:00;20170105 21:00;0.4;1.6
H2S;uur;µg/m³;20170105 21:00;20170105 22:00;0;1.9
H2S;uur;µg/m³;20170105 22:00;20170105 23:00;0.2;1.6
H2S;uur;µg/m³;20170105 23:00;20170106 00:00;0.2;1.6
H2S;uur;µg/m³;20170106 00:00;20170106 01:00;0.1;1.5
H2S;uur;µg/m³;20170106 01:00;20170106 02:00;0.3;1.4
H2S;uur;µg/m³;20170106 02:00;20170106 03:00;0.1;1.5
H2S;uur;µg/m³;20170106 03:00;20170106 04:00;0;1.6
H2S;uur;µg/m³;20170106 04:00;20170106 05:00;0.1;2
H2S;uur;µg/m³;20170106 05:00;20170106 06:00;0.5;2.8
H2S;uur;µg/m³;20170106 06:00;20170106 07:00;0.1;2
H2S;uur;µg/m³;20170106 07:00;20170106 08:00;0.2;2.5
H2S;uur;µg/m³;20170106 08:00;20170106 09:00;0.2;3.2
H2S;uur;µg/m³;20170106 09:00;20170106 10:00;0;3.1
H2S;uur;µg/m³;20170106 10:00;20170106 11:00;0;
H2S;uur;µg/m³;20170106 11:00;20170106 12:00;0;2.2
H2S;uur;µg/m³;20170106 12:00;20170106 13:00;0.2;2.5
H2S;uur;µg/m³;20170106 13:00;20170106 14:00;0;2.1
H2S;uur;µg/m³;20170106 14:00;20170106 15:00;0.7;3.1
H2S;uur;µg/m³;20170106 15:00;20170106 16:00;0.1;2.8
H2S;uur;µg/m³;20170106 16:00;20170106 17:00;0.2;3.6
H2S;uur;µg/m³;20170106 17:00;20170106 18:00;0.1;2.8
H2S;uur;µg/m³;20170106 18:00;20170106 19:00;0;2.3
H2S;uur;µg/m³;20170106 19:00;20170106 20:00;0.1;2.3
H2S;uur;µg/m³;20170106 20:00;20170106 21:00;0.2;3.6
H2S;uur;µg/m³;20170106 21:00;20170106 22:00;0.4;4.4
H2S;uur;µg/m³;20170106 22:00;20170106 23:00;0.4;4.3
H2S;uur;µg/m³;20170106 23:00;20170107 00:00;0;2.3
H2S;uur;µg/m³;20170107 00:00;20170107 01:00;0.1;3
H2S;uur;µg/m³;20170107 01:00;20170107 02:00;0.5;3.7
H2S;uur;µg/m³;20170107 02:00;20170107 03:00;0.6;4.4
H2S;uur;µg/m³;20170107 03:00;20170107 04:00;0;3.4
H2S;uur;µg/m³;20170107 04:00;20170107 05:00;0.4;3.5
H2S;uur;µg/m³;20170107 05:00;20170107 06:00;0.2;9.5
H2S;uur;µg/m³;20170107 06:00;20170107 07:00;0.4;5.6
H2S;uur;µg/m³;20170107 07:00;20170107 08:00;0.7;5.7
H2S;uur;µg/m³;20170107 08:00;20170107 09:00;0.6;5.1
H2S;uur;µg/m³;20170107 09:00;20170107 10:00;0.2;4.8
H2S;uur;µg/m³;20170107 10:00;20170107 11:00;0.6;4.9
H2S;uur;µg/m³;20170107 11:00;20170107 12:00;0.4;5.5
H2S;uur;µg/m³;20170107 12:00;20170107 13:00;0.9;5.2
H2S;uur;µg/m³;20170107 13:00;20170107 14:00;0.3;6.6
H2S;uur;µg/m³;20170107 14:00;20170107 15:00;;6.9
H2S;uur;µg/m³;20170107 15:00;20170107 16:00;0.3;2.9
H2S;uur;µg/m³;20170107 16:00;20170107 17:00;0.9;1.4
H2S;uur;µg/m³;20170107 17:00;20170107 18:00;1.1;1.4
H2S;uur;µg/m³;20170107 18:00;20170107 19:00;2.1;2.1
H2S;uur;µg/m³;20170107 19:00;20170107 20:00;2.3;1.7
H2S;uur;µg/m³;20170107 20:00;20170107 21:00;1.5;1.4
H2S;uur;µg/m³;20170107 21:00;20170107 22:00;0.3;2
H2S;uur;µg/m³;20170107 22:00;20170107 23:00;0.1;1.8
H2S;uur;µg/m³;20170107 23:00;20170108 00:00;2.1;2.1
H2S;uur;µg/m³;20170108 00:00;20170108 01:00;3.1;1.8
H2S;uur;µg/m³;20170108 01:00;20170108 02:00;0.9;1.5
H2S;uur;µg/m³;20170108 02:00;20170108 03:00;0.1;1.9
H2S;uur;µg/m³;20170108 03:00;20170108 04:00;0.2;2.3
H2S;uur;µg/m³;20170108 04:00;20170108 05:00;0.3;1.8
H2S;uur;µg/m³;20170108 05:00;20170108 06:00;1.4;1.8
H2S;uur;µg/m³;20170108 06:00;20170108 07:00;1.2;1.5
H2S;uur;µg/m³;20170108 07:00;20170108 08:00;2;1.6
H2S;uur;µg/m³;20170108 08:00;20170108 09:00;0.8;1.2
H2S;uur;µg/m³;20170108 09:00;20170108 10:00;0.4;2
H2S;uur;µg/m³;20170108 10:00;20170108 11:00;2.5;1.7
H2S;uur;µg/m³;20170108 11:00;20170108 12:00;1.3;1.7
H2S;uur;µg/m³;20170108 12:00;20170108 13:00;2.2;
H2S;uur;µg/m³;20170108 13:00;20170108 14:00;0.1;0.4
H2S;uur;µg/m³;20170108 14:00;20170108 15:00;0.3;0.5
H2S;uur;µg/m³;20170108 15:00;20170108 16:00;0.2;0.4
H2S;uur;µg/m³;20170108 16:00;20170108 17:00;0.2;0.3
H2S;uur;µg/m³;20170108 17:00;20170108 18:00;0.3;0.5
H2S;uur;µg/m³;20170108 18:00;20170108 19:00;0.4;0.3
H2S;uur;µg/m³;20170108 19:00;20170108 20:00;0.2;0.9
H2S;uur;µg/m³;20170108 20:00;20170108 21:00;0.3;0.3
H2S;uur;µg/m³;20170108 21:00;20170108 22:00;0.5;0.1
H2S;uur;µg/m³;20170108 22:00;20170108 23:00;0.3;0.3
H2S;uur;µg/m³;20170108 23:00;20170109 00:00;0;2.2
H2S;uur;µg/m³;20170109 00:00;20170109 01:00;0;3.1
H2S;uur;µg/m³;20170109 01:00;20170109 02:00;0.3;1.4
H2S;uur;µg/m³;20170109 02:00;20170109 03:00;0.5;1.6
H2S;uur;µg/m³;20170109 03:00;20170109 04:00;0.3;1.4
H2S;uur;µg/m³;20170109 04:00;20170109 05:00;0.4;3.5
H2S;uur;µg/m³;20170109 05:00;20170109 06:00;0.1;2.5
H2S;uur;µg/m³;20170109 06:00;20170109 07:00;0.4;1.9
H2S;uur;µg/m³;20170109 07:00;20170109 08:00;0.8;1.2
H2S;uur;µg/m³;20170109 08:00;20170109 09:00;0.3;1.4
H2S;uur;µg/m³;20170109 09:00;20170109 10:00;0.1;1.1
H2S;uur;µg/m³;20170109 10:00;20170109 11:00;0.2;1.3
H2S;uur;µg/m³;20170109 11:00;20170109 12:00;0.6;1.2
H2S;uur;µg/m³;20170109 12:00;20170109 13:00;0.1;3.7
H2S;uur;µg/m³;20170109 13:00;20170109 14:00;0.4;4.2
H2S;uur;µg/m³;20170109 14:00;20170109 15:00;0.5;3.4
H2S;uur;µg/m³;20170109 15:00;20170109 16:00;0.6;4.8
H2S;uur;µg/m³;20170109 16:00;20170109 17:00;;3
H2S;uur;µg/m³;20170109 17:00;20170109 18:00;;9.2
H2S;uur;µg/m³;20170109 18:00;20170109 19:00;;4.1
H2S;uur;µg/m³;20170109 19:00;20170109 20:00;;4.5
H2S;uur;µg/m³;20170109 20:00;20170109 21:00;;9.2
H2S;uur;µg/m³;20170109 21:00;20170109 22:00;;1.9
H2S;uur;µg/m³;20170109 22:00;20170109 23:00;;2.6
H2S;uur;µg/m³;20170109 23:00;20170110 00:00;;1.6
H2S;uur;µg/m³;20170110 00:00;20170110 01:00;;2.3
H2S;uur;µg/m³;20170110 01:00;20170110 02:00;;0.4
H2S;uur;µg/m³;20170110 02:00;20170110 03:00;;0.5
H2S;uur;µg/m³;20170110 03:00;20170110 04:00;;0.2
H2S;uur;µg/m³;20170110 04:00;20170110 05:00;;0.3
H2S;uur;µg/m³;20170110 05:00;20170110 06:00;;0.4
H2S;uur;µg/m³;20170110 06:00;20170110 07:00;;0.3
H2S;uur;µg/m³;20170110 07:00;20170110 08:00;;0.3
H2S;uur;µg/m³;20170110 08:00;20170110 09:00;;0.6
H2S;uur;µg/m³;20170110 09:00;20170110 10:00;;0.8
H2S;uur;µg/m³;20170110 10:00;20170110 11:00;;0.5
H2S;uur;µg/m³;20170110 11:00;20170110 12:00;;0.8
H2S;uur;µg/m³;20170110 12:00;20170110 13:00;;0.4
H2S;uur;µg/m³;20170110 13:00;20170110 14:00;;2.1
H2S;uur;µg/m³;20170110 14:00;20170110 15:00;;
H2S;uur;µg/m³;20170110 15:00;20170110 16:00;;0.9
H2S;uur;µg/m³;20170110 16:00;20170110 17:00;;0.9
H2S;uur;µg/m³;20170110 17:00;20170110 18:00;;3.1
H2S;uur;µg/m³;20170110 18:00;20170110 19:00;;1.7
H2S;uur;µg/m³;20170110 19:00;20170110 20:00;;4.9
H2S;uur;µg/m³;20170110 20:00;20170110 21:00;;6.3
H2S;uur;µg/m³;20170110 21:00;20170110 22:00;;5.9
H2S;uur;µg/m³;20170110 22:00;20170110 23:00;;2.5
H2S;uur;µg/m³;20170110 23:00;20170111 00:00;;1.2
H2S;uur;µg/m³;20170111 00:00;20170111 01:00;;1.6
H2S;uur;µg/m³;20170111 01:00;20170111 02:00;;2.7
H2S;uur;µg/m³;20170111 02:00;20170111 03:00;;3.6
H2S;uur;µg/m³;20170111 03:00;20170111 04:00;;4.6
H2S;uur;µg/m³;20170111 04:00;20170111 05:00;;4
H2S;uur;µg/m³;20170111 05:00;20170111 06:00;;3.8
H2S;uur;µg/m³;20170111 06:00;20170111 07:00;;1.3
H2S;uur;µg/m³;20170111 07:00;20170111 08:00;;1
H2S;uur;µg/m³;20170111 08:00;20170111 09:00;;1.6
H2S;uur;µg/m³;20170111 09:00;20170111 10:00;;0.7
H2S;uur;µg/m³;20170111 10:00;20170111 11:00;;0.8
H2S;uur;µg/m³;20170111 11:00;20170111 12:00;;0.6
H2S;uur;µg/m³;20170111 12:00;20170111 13:00;;0.6
H2S;uur;µg/m³;20170111 13:00;20170111 14:00;;0.6
H2S;uur;µg/m³;20170111 14:00;20170111 15:00;;0.9
H2S;uur;µg/m³;20170111 15:00;20170111 16:00;;0.4
H2S;uur;µg/m³;20170111 16:00;20170111 17:00;;0.6
H2S;uur;µg/m³;20170111 17:00;20170111 18:00;;0.3
H2S;uur;µg/m³;20170111 18:00;20170111 19:00;;0.7
H2S;uur;µg/m³;20170111 19:00;20170111 20:00;;0.6
H2S;uur;µg/m³;20170111 20:00;20170111 21:00;;0.5
H2S;uur;µg/m³;20170111 21:00;20170111 22:00;;1
H2S;uur;µg/m³;20170111 22:00;20170111 23:00;;0.6
H2S;uur;µg/m³;20170111 23:00;20170112 00:00;;0.4
H2S;uur;µg/m³;20170112 00:00;20170112 01:00;;0.7
H2S;uur;µg/m³;20170112 01:00;20170112 02:00;;0.5
H2S;uur;µg/m³;20170112 02:00;20170112 03:00;;0.5
H2S;uur;µg/m³;20170112 03:00;20170112 04:00;;0.6
H2S;uur;µg/m³;20170112 04:00;20170112 05:00;;0.4
H2S;uur;µg/m³;20170112 05:00;20170112 06:00;;0.7
H2S;uur;µg/m³;20170112 06:00;20170112 07:00;;0.6
H2S;uur;µg/m³;20170112 07:00;20170112 08:00;;
H2S;uur;µg/m³;20170112 08:00;20170112 09:00;;
H2S;uur;µg/m³;20170112 09:00;20170112 10:00;;0.5
H2S;uur;µg/m³;20170112 10:00;20170112 11:00;;0.8
H2S;uur;µg/m³;20170112 11:00;20170112 12:00;;0.5
H2S;uur;µg/m³;20170112 12:00;20170112 13:00;;0.4
H2S;uur;µg/m³;20170112 13:00;20170112 14:00;;0.8
H2S;uur;µg/m³;20170112 14:00;20170112 15:00;;0.3
H2S;uur;µg/m³;20170112 15:00;20170112 16:00;;0.9
H2S;uur;µg/m³;20170112 16:00;20170112 17:00;;
H2S;uur;µg/m³;20170112 17:00;20170112 18:00;1;2.4
H2S;uur;µg/m³;20170112 18:00;20170112 19:00;0.6;0.5
H2S;uur;µg/m³;20170112 19:00;20170112 20:00;1;0.6
H2S;uur;µg/m³;20170112 20:00;20170112 21:00;0.9;0.3
H2S;uur;µg/m³;20170112 21:00;20170112 22:00;1;0.3
H2S;uur;µg/m³;20170112 22:00;20170112 23:00;1.7;0.2
H2S;uur;µg/m³;20170112 23:00;20170113 00:00;1.9;0.2
H2S;uur;µg/m³;20170113 00:00;20170113 01:00;1;0.1
H2S;uur;µg/m³;20170113 01:00;20170113 02:00;1;0.2
H2S;uur;µg/m³;20170113 02:00;20170113 03:00;1.2;0.3
H2S;uur;µg/m³;20170113 03:00;20170113 04:00;1.9;0.2
H2S;uur;µg/m³;20170113 04:00;20170113 05:00;6.5;0.2
H2S;uur;µg/m³;20170113 05:00;20170113 06:00;3.1;0.2
H2S;uur;µg/m³;20170113 06:00;20170113 07:00;2.6;0.3
H2S;uur;µg/m³;20170113 07:00;20170113 08:00;0.9;0.2
H2S;uur;µg/m³;20170113 08:00;20170113 09:00;1.6;0.1
H2S;uur;µg/m³;20170113 09:00;20170113 10:00;0.7;0.2
H2S;uur;µg/m³;20170113 10:00;20170113 11:00;0.9;0.2
H2S;uur;µg/m³;20170113 11:00;20170113 12:00;0.7;0.3
H2S;uur;µg/m³;20170113 12:00;20170113 13:00;0.9;0.2
H2S;uur;µg/m³;20170113 13:00;20170113 14:00;0.7;0.2
H2S;uur;µg/m³;20170113 14:00;20170113 15:00;0.7;0.2
H2S;uur;µg/m³;20170113 15:00;20170113 16:00;1;0.3
H2S;uur;µg/m³;20170113 16:00;20170113 17:00;1.6;0.3
H2S;uur;µg/m³;20170113 17:00;20170113 18:00;3.7;0.2
H2S;uur;µg/m³;20170113 18:00;20170113 19:00;3.4;0.2
H2S;uur;µg/m³;20170113 19:00;20170113 20:00;3.6;0.3
H2S;uur;µg/m³;20170113 20:00;20170113 21:00;;0.2
H2S;uur;µg/m³;20170113 21:00;20170113 22:00;3.1;0.2
H2S;uur;µg/m³;20170113 22:00;20170113 23:00;3.1;0.1
H2S;uur;µg/m³;20170113 23:00;20170114 00:00;1.6;0.2
H2S;uur;µg/m³;20170114 00:00;20170114 01:00;3.5;0.2
H2S;uur;µg/m³;20170114 01:00;20170114 02:00;3.6;0.1
H2S;uur;µg/m³;20170114 02:00;20170114 03:00;3.1;0.2
H2S;uur;µg/m³;20170114 03:00;20170114 04:00;2.4;0.2
H2S;uur;µg/m³;20170114 04:00;20170114 05:00;1.3;0.2
H2S;uur;µg/m³;20170114 05:00;20170114 06:00;1.9;0
H2S;uur;µg/m³;20170114 06:00;20170114 07:00;1.8;0.3
H2S;uur;µg/m³;20170114 07:00;20170114 08:00;1.2;0.1
H2S;uur;µg/m³;20170114 08:00;20170114 09:00;1;0.4
H2S;uur;µg/m³;20170114 09:00;20170114 10:00;0.3;0.1
H2S;uur;µg/m³;20170114 10:00;20170114 11:00;0.4;0.2
H2S;uur;µg/m³;20170114 11:00;20170114 12:00;0.5;0.2
H2S;uur;µg/m³;20170114 12:00;20170114 13:00;0.4;0.4
H2S;uur;µg/m³;20170114 13:00;20170114 14:00;1.9;0.2
H2S;uur;µg/m³;20170114 14:00;20170114 15:00;4.2;0
H2S;uur;µg/m³;20170114 15:00;20170114 16:00;2.7;0.3
H2S;uur;µg/m³;20170114 16:00;20170114 17:00;2.4;0.1
H2S;uur;µg/m³;20170114 17:00;20170114 18:00;2.1;0.2
H2S;uur;µg/m³;20170114 18:00;20170114 19:00;1.7;
H2S;uur;µg/m³;20170114 19:00;20170114 20:00;1.5;1
H2S;uur;µg/m³;20170114 20:00;20170114 21:00;4;0.9
H2S;uur;µg/m³;20170114 21:00;20170114 22:00;1.2;1.2
H2S;uur;µg/m³;20170114 22:00;20170114 23:00;2.8;1.3
H2S;uur;µg/m³;20170114 23:00;20170115 00:00;1.1;0.8
H2S;uur;µg/m³;20170115 00:00;20170115 01:00;2.9;0.9
H2S;uur;µg/m³;20170115 01:00;20170115 02:00;0.7;0.9
H2S;uur;µg/m³;20170115 02:00;20170115 03:00;2.2;1
H2S;uur;µg/m³;20170115 03:00;20170115 04:00;1;1.2
H2S;uur;µg/m³;20170115 04:00;20170115 05:00;4.1;0.9
H2S;uur;µg/m³;20170115 05:00;20170115 06:00;1.6;1.3
H2S;uur;µg/m³;20170115 06:00;20170115 07:00;0.5;1.1
H2S;uur;µg/m³;20170115 07:00;20170115 08:00;1.7;1.4
H2S;uur;µg/m³;20170115 08:00;20170115 09:00;1;0.9
H2S;uur;µg/m³;20170115 09:00;20170115 10:00;1.4;1.1
H2S;uur;µg/m³;20170115 10:00;20170115 11:00;0.8;1
H2S;uur;µg/m³;20170115 11:00;20170115 12:00;0.5;0.8
H2S;uur;µg/m³;20170115 12:00;20170115 13:00;0.3;1
H2S;uur;µg/m³;20170115 13:00;20170115 14:00;0.5;1.2
H2S;uur;µg/m³;20170115 14:00;20170115 15:00;0.6;1
H2S;uur;µg/m³;20170115 15:00;20170115 16:00;0.4;1.4
H2S;uur;µg/m³;20170115 16:00;20170115 17:00;0.3;0.9
H2S;uur;µg/m³;20170115 17:00;20170115 18:00;0.6;0.9
H2S;uur;µg/m³;20170115 18:00;20170115 19:00;1.2;0.7
H2S;uur;µg/m³;20170115 19:00;20170115 20:00;0.5;1.4
H2S;uur;µg/m³;20170115 20:00;20170115 21:00;0.4;1.3
H2S;uur;µg/m³;20170115 21:00;20170115 22:00;2.9;1.1
H2S;uur;µg/m³;20170115 22:00;20170115 23:00;;1
H2S;uur;µg/m³;20170115 23:00;20170116 00:00;0.7;1
H2S;uur;µg/m³;20170116 00:00;20170116 01:00;4.7;1.1
H2S;uur;µg/m³;20170116 01:00;20170116 02:00;0.4;1.2
H2S;uur;µg/m³;20170116 02:00;20170116 03:00;0.7;0.8
H2S;uur;µg/m³;20170116 03:00;20170116 04:00;0.5;0.7
H2S;uur;µg/m³;20170116 04:00;20170116 05:00;0.4;1.3
H2S;uur;µg/m³;20170116 05:00;20170116 06:00;0.5;1.1
H2S;uur;µg/m³;20170116 06:00;20170116 07:00;0.4;
H2S;uur;µg/m³;20170116 07:00;20170116 08:00;0.7;
H2S;uur;µg/m³;20170116 08:00;20170116 09:00;0.3;1.6
H2S;uur;µg/m³;20170116 09:00;20170116 10:00;0.3;1.6
H2S;uur;µg/m³;20170116 10:00;20170116 11:00;0.3;1.2
H2S;uur;µg/m³;20170116 11:00;20170116 12:00;0.3;1.2
H2S;uur;µg/m³;20170116 12:00;20170116 13:00;0.1;1.6
H2S;uur;µg/m³;20170116 13:00;20170116 14:00;0.2;1.2
H2S;uur;µg/m³;20170116 14:00;20170116 15:00;0.3;1.4
