Export;EXP-2023-01 (20230706 17:10);;;StationsCode;NL49551;NL49553
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20170101 00:00;20170101 01:00;2;1.5
H2S;uur;µg/m³;20170101 01:00;20170101 02:00;2;1.5
H2S;uur;µg/m³;20170101 02:00;20170101 03:00;2.9;1.5
H2S;uur;µg/m³;20170101 03:00;20170101 04:00;2.9;1.6
H2S;uur;µg/m³;20170101 04:00;20170101 05:00;2.4;1.9
H2S;uur;µg/m³;20170101 05:00;20170101 06:00;3;2.8
H2S;uur;µg/m³;20170101 06:00;20170101 07:00;1.8;2.3
H2S;uur;µg/m³;20170101 07:00;20170101 08:00;1.9;1.5
H2S;uur;µg/m³;20170101 08:00;20170101 09:00;;2
H2S;uur;µg/m³;20170101 09:00;20170101 10:00;0.7;0.9
H2S;uur;µg/m³;20170101 10:00;20170101 11:00;0.8;1.6
H2S;uur;µg/m³;20170101 11:00;20170101 12:00;0.9;2.4
H2S;uur;µg/m³;20170101 12:00;20170101 13:00;1;2.3
H2S;uur;µg/m³;20170101 13:00;20170101 14:00;0.7;2.7
H2S;uur;µg/m³;20170101 14:00;20170101 15:00;0.6;3.9
H2S;uur;µg/m³;20170101 15:00;20170101 16:00;1.3;3.6
H2S;uur;µg/m³;20170101 16:00;20170101 17:00;1.7;3.2
H2S;uur;µg/m³;20170101 17:00;20170101 18:00;1.1;3
H2S;uur;µg/m³;20170101 18:00;20170101 19:00;0.7;2.9
H2S;uur;µg/m³;20170101 19:00;20170101 20:00;0.6;1.6
H2S;uur;µg/m³;20170101 20:00;20170101 21:00;1.1;0.2
H2S;uur;µg/m³;20170101 21:00;20170101 22:00;1;0.4
H2S;uur;µg/m³;20170101 22:00;20170101 23:00;1.4;0.3
H2S;uur;µg/m³;20170101 23:00;20170102 00:00;0.9;0.4
H2S;uur;µg/m³;20170102 00:00;20170102 01:00;0.8;0.2
H2S;uur;µg/m³;20170102 01:00;20170102 02:00;0.9;0.2
H2S;uur;µg/m³;20170102 02:00;20170102 03:00;2.1;0.1
H2S;uur;µg/m³;20170102 03:00;20170102 04:00;1.3;0.1
H2S;uur;µg/m³;20170102 04:00;20170102 05:00;1.1;0.2
H2S;uur;µg/m³;20170102 05:00;20170102 06:00;1;0.1
H2S;uur;µg/m³;20170102 06:00;20170102 07:00;1.1;
H2S;uur;µg/m³;20170102 07:00;20170102 08:00;1.1;1.5
H2S;uur;µg/m³;20170102 08:00;20170102 09:00;1;1.8
H2S;uur;µg/m³;20170102 09:00;20170102 10:00;3.4;2
H2S;uur;µg/m³;20170102 10:00;20170102 11:00;3.8;1.2
H2S;uur;µg/m³;20170102 11:00;20170102 12:00;3.2;1.5
H2S;uur;µg/m³;20170102 12:00;20170102 13:00;7;1.6
H2S;uur;µg/m³;20170102 13:00;20170102 14:00;6.4;1.7
H2S;uur;µg/m³;20170102 14:00;20170102 15:00;4.5;1.5
H2S;uur;µg/m³;20170102 15:00;20170102 16:00;1.3;1.9
H2S;uur;µg/m³;20170102 16:00;20170102 17:00;4.7;2.1
H2S;uur;µg/m³;20170102 17:00;20170102 18:00;0.7;1.4
H2S;uur;µg/m³;20170102 18:00;20170102 19:00;0.7;1.8
H2S;uur;µg/m³;20170102 19:00;20170102 20:00;0.8;1.4
H2S;uur;µg/m³;20170102 20:00;20170102 21:00;1.2;2.3
H2S;uur;µg/m³;20170102 21:00;20170102 22:00;0.5;1.7
H2S;uur;µg/m³;20170102 22:00;20170102 23:00;3.2;1.6
H2S;uur;µg/m³;20170102 23:00;20170103 00:00;2.1;1.4
H2S;uur;µg/m³;20170103 00:00;20170103 01:00;0.5;1.8
H2S;uur;µg/m³;20170103 01:00;20170103 02:00;0.7;1.7
H2S;uur;µg/m³;20170103 02:00;20170103 03:00;0.7;1.7
H2S;uur;µg/m³;20170103 03:00;20170103 04:00;1.2;1.8
H2S;uur;µg/m³;20170103 04:00;20170103 05:00;1.1;2.3
H2S;uur;µg/m³;20170103 05:00;20170103 06:00;1.8;1.9
H2S;uur;µg/m³;20170103 06:00;20170103 07:00;0.9;1.6
H2S;uur;µg/m³;20170103 07:00;20170103 08:00;1.2;2
H2S;uur;µg/m³;20170103 08:00;20170103 09:00;0.6;2
H2S;uur;µg/m³;20170103 09:00;20170103 10:00;0.6;2
H2S;uur;µg/m³;20170103 10:00;20170103 11:00;;2
H2S;uur;µg/m³;20170103 11:00;20170103 12:00;1.2;1.9
H2S;uur;µg/m³;20170103 12:00;20170103 13:00;1.6;1.6
H2S;uur;µg/m³;20170103 13:00;20170103 14:00;1.8;1.3
H2S;uur;µg/m³;20170103 14:00;20170103 15:00;2.1;2.1
H2S;uur;µg/m³;20170103 15:00;20170103 16:00;2.3;2
H2S;uur;µg/m³;20170103 16:00;20170103 17:00;1.9;1.6
H2S;uur;µg/m³;20170103 17:00;20170103 18:00;2;2.3
H2S;uur;µg/m³;20170103 18:00;20170103 19:00;2.1;2.4
H2S;uur;µg/m³;20170103 19:00;20170103 20:00;1.6;1.8
H2S;uur;µg/m³;20170103 20:00;20170103 21:00;1.2;1.7
H2S;uur;µg/m³;20170103 21:00;20170103 22:00;1.3;2.6
H2S;uur;µg/m³;20170103 22:00;20170103 23:00;1.4;1.4
H2S;uur;µg/m³;20170103 23:00;20170104 00:00;0.9;2.3
H2S;uur;µg/m³;20170104 00:00;20170104 01:00;1.3;1.4
H2S;uur;µg/m³;20170104 01:00;20170104 02:00;2;1.5
H2S;uur;µg/m³;20170104 02:00;20170104 03:00;2.5;1.4
H2S;uur;µg/m³;20170104 03:00;20170104 04:00;1.8;2.2
H2S;uur;µg/m³;20170104 04:00;20170104 05:00;2.3;2
H2S;uur;µg/m³;20170104 05:00;20170104 06:00;1.8;1.8
H2S;uur;µg/m³;20170104 06:00;20170104 07:00;3.4;2.4
H2S;uur;µg/m³;20170104 07:00;20170104 08:00;2.3;1.3
H2S;uur;µg/m³;20170104 08:00;20170104 09:00;4;
H2S;uur;µg/m³;20170104 09:00;20170104 10:00;4;1.4
H2S;uur;µg/m³;20170104 10:00;20170104 11:00;5;1.8
H2S;uur;µg/m³;20170104 11:00;20170104 12:00;3.4;1.4
H2S;uur;µg/m³;20170104 12:00;20170104 13:00;4.7;1.4
H2S;uur;µg/m³;20170104 13:00;20170104 14:00;4.7;1.6
