Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20220101 21:00;20220101 22:00;2.1;0.7;1.4;-0.12;0.68;1.76;0.21;1.59;0.34;1;3.4;56.2;2.9
SO2;uur;µg/m³;20220101 22:00;20220101 23:00;2;0.6;1.1;-0.12;0.73;1.8;0.38;0.91;0.35;1.1;3.8;45.2;3.9
SO2;uur;µg/m³;20220101 23:00;20220102 00:00;2.5;1;1.3;-0.11;0.72;1.8;0.77;0.56;0.4;1.2;4;28.6;3
SO2;uur;µg/m³;20220102 00:00;20220102 01:00;2.5;0.8;1.3;-0.12;0.41;1.39;0.77;0.31;0.44;1.1;3.3;28.6;2.6
SO2;uur;µg/m³;20220102 01:00;20220102 02:00;2.3;0.6;1.1;-0.15;0.26;1.14;0.57;0.12;0.47;0.7;2.4;31.8;2.1
SO2;uur;µg/m³;20220102 02:00;20220102 03:00;2.6;0.6;1.6;-0.02;0.25;1.01;0.47;0.02;0.52;0.6;3;41.3;2.5
SO2;uur;µg/m³;20220102 03:00;20220102 04:00;9.4;0.8;0.2;-0.01;0.29;1.2;0.59;-0.1;0.35;0.5;3.4;35.6;2.6
SO2;uur;µg/m³;20220102 04:00;20220102 05:00;13.8;0.9;-0.1;0.39;0.19;1.26;0.89;0.43;-0.03;0.9;3.2;16.8;2.4
SO2;uur;µg/m³;20220102 05:00;20220102 06:00;4.3;0.7;4;0.41;0.29;1.36;0.65;0.42;-0.05;0.7;2.5;13.8;1.9
SO2;uur;µg/m³;20220102 06:00;20220102 07:00;2.9;0.7;3.6;;;;;;;0.6;2.5;40.9;2
SO2;uur;µg/m³;20220102 07:00;20220102 08:00;2.7;0.9;2.7;0.54;0.4;1.03;0.98;1.38;0.12;0.5;2.4;41.8;2
SO2;uur;µg/m³;20220102 08:00;20220102 09:00;13.9;0.5;1.6;0.38;0.35;1.08;0.57;0.76;0;0.4;2.4;17.1;1.9
SO2;uur;µg/m³;20220102 09:00;20220102 10:00;25.6;1.3;0.5;0.35;0.26;0.89;0.69;0.98;0.01;0.5;2.8;11.3;1.5
SO2;uur;µg/m³;20220102 10:00;20220102 11:00;20.4;1.3;0.5;0.48;0.24;0.89;0.66;0.75;-0.07;0.7;2.9;4.9;1.3
SO2;uur;µg/m³;20220102 11:00;20220102 12:00;5.7;1.2;0;0.61;0.17;0.56;0.58;0.59;-0.04;0.5;;2.6;0.8
SO2;uur;µg/m³;20220102 12:00;20220102 13:00;3.3;0.7;-0.3;0.42;0.07;0.39;0.4;0.6;0.02;0.3;1.9;2.5;0.5
SO2;uur;µg/m³;20220102 13:00;20220102 14:00;2.3;0.6;0.1;0.38;0.01;0.3;0.41;0.52;-0.08;0.1;2.4;1.4;0.4
SO2;uur;µg/m³;20220102 14:00;20220102 15:00;2;0.5;-0.5;0.35;-0.01;0.24;0.33;0.42;-0.14;0.2;2.3;1.2;0.3
SO2;uur;µg/m³;20220102 15:00;20220102 16:00;1.1;0.7;-0.2;0.37;-0.03;0.28;0.23;0.38;-0.16;0.2;1.3;1.6;0.3
SO2;uur;µg/m³;20220102 16:00;20220102 17:00;0.2;0.6;0.7;0.31;-0.05;0.24;0.21;0.32;-0.1;0.2;2.5;2.1;0.4
SO2;uur;µg/m³;20220102 17:00;20220102 18:00;1.6;0.6;0.6;0.45;0.04;0.28;0.37;0.32;-0.16;0.1;1.8;4.2;0.4
SO2;uur;µg/m³;20220102 18:00;20220102 19:00;6.4;0.7;0.7;0.35;-0.03;0.34;0.43;0.32;-0.18;0.1;1.9;14.3;0.4
SO2;uur;µg/m³;20220102 19:00;20220102 20:00;6.5;0.6;0;0.19;-0.01;0.37;0.31;0.34;-0.11;0.2;2.4;8.2;0.5
SO2;uur;µg/m³;20220102 20:00;20220102 21:00;2.9;0.6;-0.3;0.26;0.06;0.24;0.3;0.36;-0.08;0.2;1.4;4.1;0.3
SO2;uur;µg/m³;20220102 21:00;20220102 22:00;2.1;0.6;-0.2;0.16;0.37;0.18;0.36;0.31;-0.1;0;2.1;1.9;0.3
SO2;uur;µg/m³;20220102 22:00;20220102 23:00;1.6;0.5;-0.4;0.28;0.4;0.15;0.94;0.26;-0.18;0.1;1.3;1.5;0.2
SO2;uur;µg/m³;20220102 23:00;20220103 00:00;1.2;0.2;-0.4;0.26;0.09;0.13;0.48;0.23;-0.18;0.1;2.2;1.7;0.2
SO2;uur;µg/m³;20220103 00:00;20220103 01:00;1.2;0.4;-0.4;0.45;0.05;0.17;0.29;0.27;-0.17;0.1;2.8;1.4;0.2
SO2;uur;µg/m³;20220103 01:00;20220103 02:00;1.1;0.6;-0.2;0.37;0.02;0.16;0.22;0.21;-0.17;0.1;2.6;1.4;0.3
SO2;uur;µg/m³;20220103 02:00;20220103 03:00;0.9;0.4;-0.4;0.27;-0.04;0.16;0.24;0.19;-0.15;0.1;2.4;1.2;0.1
SO2;uur;µg/m³;20220103 03:00;20220103 04:00;1;0;-0.5;0.26;-0.05;0.14;0.23;0.2;-0.18;0.1;2.2;2;0.1
SO2;uur;µg/m³;20220103 04:00;20220103 05:00;0.8;0.6;-0.3;-0.01;0.22;0.13;0.01;0.19;-0.18;0.2;2.4;1.3;0.1
SO2;uur;µg/m³;20220103 05:00;20220103 06:00;0.5;-0.2;-0.7;0.01;0.22;0.16;0;0.24;-0.16;0.1;2.1;1.3;0.1
SO2;uur;µg/m³;20220103 06:00;20220103 07:00;0.6;0.5;-0.4;0.05;0.23;0.16;0.2;0.19;-0.12;0;2.3;0.8;0.2
SO2;uur;µg/m³;20220103 07:00;20220103 08:00;1;0.6;-0.7;0.09;0.22;0.16;0.16;0.17;-0.13;0.1;1.8;0.8;0.2
SO2;uur;µg/m³;20220103 08:00;20220103 09:00;0.9;0.5;-0.4;0.02;0.2;0.16;0.16;0.24;-0.13;0;2.6;0.9;0.2
SO2;uur;µg/m³;20220103 09:00;20220103 10:00;0.7;0.2;-0.5;0.06;0.24;0.17;0.25;0.28;-0.12;0;2.3;;0.3
SO2;uur;µg/m³;20220103 10:00;20220103 11:00;1.3;0.6;-0.3;0.07;0.23;0.15;0.3;0.01;-0.14;0;1.7;0.9;0.2
SO2;uur;µg/m³;20220103 11:00;20220103 12:00;4.6;0.7;0.9;0.05;0.23;0.21;0.25;-0.1;-0.14;0.1;1.6;1.9;0.2
SO2;uur;µg/m³;20220103 12:00;20220103 13:00;2;1;0.2;0.04;0.22;0.28;0.2;-0.02;-0.11;0.1;2.2;2.3;0.3
SO2;uur;µg/m³;20220103 13:00;20220103 14:00;2;0.9;0.3;0;0.21;0.38;0.23;-0.04;-0.16;0.1;1.7;3.1;0.3
SO2;uur;µg/m³;20220103 14:00;20220103 15:00;2.1;0.9;0.7;-0.03;0.2;0.18;0.28;-0.09;-0.16;0;2.3;2.4;0.2
SO2;uur;µg/m³;20220103 15:00;20220103 16:00;1.8;1;-0.2;-0.01;0.2;0.23;0.3;-0.14;-0.13;0.1;1.6;2.2;0.2
SO2;uur;µg/m³;20220103 16:00;20220103 17:00;1.4;0.9;-0.1;-0.06;0.2;0.17;0.34;-0.2;-0.13;-0.1;1.9;2.2;0.2
SO2;uur;µg/m³;20220103 17:00;20220103 18:00;0.9;0.7;-0.2;-0.02;0.25;0.12;0.3;-0.2;-0.17;-0.1;2;2.1;0.1
SO2;uur;µg/m³;20220103 18:00;20220103 19:00;1.4;0.5;-0.1;0.01;0.23;0.12;0.24;-0.18;-0.15;-0.1;1.9;2.9;0.2
