Export;EXP-2023-01 (20230706 17:18);;;StationsCode;NL10742
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Nijmegen-Ruyterstraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.838221,5.856938)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad
;;;;StationsType;achtergrond
;;;;Meetprincipe;Reflectometrie
;;;;Meetopstelling;ETL-SX200
;;;;Accreditatienummer;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10742
ZWR;dag;µg/m³;20170326 00:00;20170327 00:00;2.6
ZWR;dag;µg/m³;20170327 00:00;20170328 00:00;4.97
ZWR;dag;µg/m³;20170328 00:00;20170329 00:00;8
ZWR;dag;µg/m³;20170329 00:00;20170330 00:00;4.58
ZWR;dag;µg/m³;20170330 00:00;20170331 00:00;3.49
ZWR;dag;µg/m³;20170331 00:00;20170401 00:00;5.6
ZWR;dag;µg/m³;20170401 00:00;20170402 00:00;4.96
ZWR;dag;µg/m³;20170402 00:00;20170403 00:00;2.67
ZWR;dag;µg/m³;20170403 00:00;20170404 00:00;3.78
ZWR;dag;µg/m³;20170404 00:00;20170405 00:00;5.18
ZWR;dag;µg/m³;20170405 00:00;20170406 00:00;2.67
ZWR;dag;µg/m³;20170406 00:00;20170407 00:00;1.89
ZWR;dag;µg/m³;20170407 00:00;20170408 00:00;4.15
ZWR;dag;µg/m³;20170408 00:00;20170409 00:00;2.53
ZWR;dag;µg/m³;20170409 00:00;20170410 00:00;6.81
ZWR;dag;µg/m³;20170410 00:00;20170411 00:00;2.88
ZWR;dag;µg/m³;20170411 00:00;20170412 00:00;
ZWR;dag;µg/m³;20170412 00:00;20170413 00:00;3.93
ZWR;dag;µg/m³;20170413 00:00;20170414 00:00;1.75
ZWR;dag;µg/m³;20170414 00:00;20170415 00:00;5.25
ZWR;dag;µg/m³;20170415 00:00;20170416 00:00;2.08
ZWR;dag;µg/m³;20170416 00:00;20170417 00:00;1.32
ZWR;dag;µg/m³;20170417 00:00;20170418 00:00;0.51
ZWR;dag;µg/m³;20170418 00:00;20170419 00:00;1.16
ZWR;dag;µg/m³;20170419 00:00;20170420 00:00;2.35
ZWR;dag;µg/m³;20170420 00:00;20170421 00:00;4.01
ZWR;dag;µg/m³;20170421 00:00;20170422 00:00;4.09
ZWR;dag;µg/m³;20170422 00:00;20170423 00:00;0.79
ZWR;dag;µg/m³;20170423 00:00;20170424 00:00;1.42
ZWR;dag;µg/m³;20170424 00:00;20170425 00:00;2.32
ZWR;dag;µg/m³;20170425 00:00;20170426 00:00;0.91
ZWR;dag;µg/m³;20170426 00:00;20170427 00:00;2.46
ZWR;dag;µg/m³;20170427 00:00;20170428 00:00;1.72
ZWR;dag;µg/m³;20170428 00:00;20170429 00:00;2.8
ZWR;dag;µg/m³;20170429 00:00;20170430 00:00;2.53
ZWR;dag;µg/m³;20170430 00:00;20170501 00:00;2.12
ZWR;dag;µg/m³;20170501 00:00;20170502 00:00;2.49
ZWR;dag;µg/m³;20170502 00:00;20170503 00:00;4.8
ZWR;dag;µg/m³;20170503 00:00;20170504 00:00;2.67
ZWR;dag;µg/m³;20170504 00:00;20170505 00:00;2.9
ZWR;dag;µg/m³;20170505 00:00;20170506 00:00;2.66
ZWR;dag;µg/m³;20170506 00:00;20170507 00:00;3.6
ZWR;dag;µg/m³;20170507 00:00;20170508 00:00;2.29
ZWR;dag;µg/m³;20170508 00:00;20170509 00:00;1.07
ZWR;dag;µg/m³;20170509 00:00;20170510 00:00;1.52
ZWR;dag;µg/m³;20170510 00:00;20170511 00:00;2.29
ZWR;dag;µg/m³;20170511 00:00;20170512 00:00;3.34
ZWR;dag;µg/m³;20170512 00:00;20170513 00:00;1.32
ZWR;dag;µg/m³;20170513 00:00;20170514 00:00;1.85
ZWR;dag;µg/m³;20170514 00:00;20170515 00:00;2.35
ZWR;dag;µg/m³;20170515 00:00;20170516 00:00;2.32
ZWR;dag;µg/m³;20170516 00:00;20170517 00:00;3.86
ZWR;dag;µg/m³;20170517 00:00;20170518 00:00;4.32
ZWR;dag;µg/m³;20170518 00:00;20170519 00:00;
ZWR;dag;µg/m³;20170519 00:00;20170520 00:00;
ZWR;dag;µg/m³;20170520 00:00;20170521 00:00;
ZWR;dag;µg/m³;20170521 00:00;20170522 00:00;
