Export;EXP-2023-01 (20230705 21:24);;;StationsCode;NL49551;NL49553
Periode;20220101 00:00 - 20230101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20220104 03:00;20220104 04:00;1.1;1.2
H2S;uur;µg/m³;20220104 04:00;20220104 05:00;0.9;1.1
H2S;uur;µg/m³;20220104 05:00;20220104 06:00;1.7;0.5
H2S;uur;µg/m³;20220104 06:00;20220104 07:00;1.6;0.9
H2S;uur;µg/m³;20220104 07:00;20220104 08:00;1.1;0.5
H2S;uur;µg/m³;20220104 08:00;20220104 09:00;1.1;1
H2S;uur;µg/m³;20220104 09:00;20220104 10:00;1.1;0.6
H2S;uur;µg/m³;20220104 10:00;20220104 11:00;2.5;0.6
H2S;uur;µg/m³;20220104 11:00;20220104 12:00;2.5;0.8
H2S;uur;µg/m³;20220104 12:00;20220104 13:00;4.5;0.4
H2S;uur;µg/m³;20220104 13:00;20220104 14:00;;0.5
H2S;uur;µg/m³;20220104 14:00;20220104 15:00;3.1;0.7
H2S;uur;µg/m³;20220104 15:00;20220104 16:00;2.6;0.5
H2S;uur;µg/m³;20220104 16:00;20220104 17:00;1.7;0.7
H2S;uur;µg/m³;20220104 17:00;20220104 18:00;2;0.6
H2S;uur;µg/m³;20220104 18:00;20220104 19:00;2.2;0.3
H2S;uur;µg/m³;20220104 19:00;20220104 20:00;1.6;0.3
H2S;uur;µg/m³;20220104 20:00;20220104 21:00;1.6;0.8
H2S;uur;µg/m³;20220104 21:00;20220104 22:00;1.6;0.3
H2S;uur;µg/m³;20220104 22:00;20220104 23:00;1.4;0.4
H2S;uur;µg/m³;20220104 23:00;20220105 00:00;0.8;0.7
H2S;uur;µg/m³;20220105 00:00;20220105 01:00;1.4;0.2
H2S;uur;µg/m³;20220105 01:00;20220105 02:00;1.2;0.4
H2S;uur;µg/m³;20220105 02:00;20220105 03:00;1.3;0.4
H2S;uur;µg/m³;20220105 03:00;20220105 04:00;1.4;0.7
H2S;uur;µg/m³;20220105 04:00;20220105 05:00;0.8;0.1
H2S;uur;µg/m³;20220105 05:00;20220105 06:00;1.1;0.7
H2S;uur;µg/m³;20220105 06:00;20220105 07:00;1.2;0.4
H2S;uur;µg/m³;20220105 07:00;20220105 08:00;1.2;0.7
H2S;uur;µg/m³;20220105 08:00;20220105 09:00;1.6;0.5
