Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;stad;stad;stad;stad;stad
;;;;StationsType;achtergrond;verkeer;verkeer;verkeer;achtergrond;industrie;industrie;achtergrond
;;;;Meetprincipe;Niet-dispersieve infrarood (NDIR);Niet-dispersieve infrarood (NDIR);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC)
;;;;Meetopstelling;Thermo model 48w CO analyser              ;Thermo model 48w CO analyser              ;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser
;;;;Accreditatienummer;nvt;nvt;L426;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10644;NL10741;NL49007;NL49012;NL49014;NL49551;NL49553;NL49561
CO;uur;µg/m³;20200102 12:00;20200102 13:00;309.28;296.29;483.1;453.4;321;345.6;381.9;443.8
CO;uur;µg/m³;20200102 13:00;20200102 14:00;302.04;303.1;498.7;475.2;345.9;347.9;403.1;521.8
CO;uur;µg/m³;20200102 14:00;20200102 15:00;340.34;345.28;484.1;507.8;380.5;347;890.8;506.7
CO;uur;µg/m³;20200102 15:00;20200102 16:00;364.63;358.09;491.1;524.1;403;359.7;1088.5;1266.2
CO;uur;µg/m³;20200102 16:00;20200102 17:00;356.96;373.54;524.8;522.7;395.3;355.1;2308.9;497.7
CO;uur;µg/m³;20200102 17:00;20200102 18:00;367.76;372.93;510;523.6;396.7;316.1;1359.3;510.8
CO;uur;µg/m³;20200102 18:00;20200102 19:00;338.05;410.84;475.6;505.8;384.7;303.5;1057.7;441.6
CO;uur;µg/m³;20200102 19:00;20200102 20:00;333.76;414.4;437.9;470.6;366.3;295;953;467.9
CO;uur;µg/m³;20200102 20:00;20200102 21:00;316.66;359.31;403.6;421.7;344.4;276.5;1047.8;411.8
CO;uur;µg/m³;20200102 21:00;20200102 22:00;295.58;312.14;369.3;418.9;325.2;269.7;1256.8;422.5
CO;uur;µg/m³;20200102 22:00;20200102 23:00;286.62;273.93;372.6;401.2;331.8;258.6;1752.5;373
CO;uur;µg/m³;20200102 23:00;20200103 00:00;291.4;247.33;362.1;390.2;324.3;236.6;1324.7;340
CO;uur;µg/m³;20200103 00:00;20200103 01:00;288.91;245.14;313.9;349.4;295.6;216.2;785.7;326
CO;uur;µg/m³;20200103 01:00;20200103 02:00;258.42;219.45;289.9;314.5;278.1;188.5;597.5;301.1
CO;uur;µg/m³;20200103 02:00;20200103 03:00;232.8;219.14;260.5;293.6;259;174.3;290;269.4
CO;uur;µg/m³;20200103 03:00;20200103 04:00;237.87;200.14;248.3;285.5;246.3;155.1;228.2;266.6
CO;uur;µg/m³;20200103 04:00;20200103 05:00;228.21;189.87;240.2;276.5;195.2;149.8;278.9;257.2
CO;uur;µg/m³;20200103 05:00;20200103 06:00;242.55;202.88;244.3;281.1;183.9;151.3;232.8;275.8
CO;uur;µg/m³;20200103 06:00;20200103 07:00;238.37;210.3;268.4;274.2;191.2;152;254;292.9
CO;uur;µg/m³;20200103 07:00;20200103 08:00;246.63;218.13;288.6;288.2;202.7;154.1;290.6;299
