Export;EXP-2023-01 (20230706 03:51);;;StationsCode;NL49551;NL49553
Periode;20200101 00:00 - 20210101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20200101 00:00;20200101 01:00;3;
H2S;uur;µg/m³;20200101 01:00;20200101 02:00;1.7;1.1
H2S;uur;µg/m³;20200101 02:00;20200101 03:00;1.9;0.7
H2S;uur;µg/m³;20200101 03:00;20200101 04:00;1.5;1.3
H2S;uur;µg/m³;20200101 04:00;20200101 05:00;1.8;0.9
H2S;uur;µg/m³;20200101 05:00;20200101 06:00;2;0.7
H2S;uur;µg/m³;20200101 06:00;20200101 07:00;2.2;0.9
H2S;uur;µg/m³;20200101 07:00;20200101 08:00;1.4;0.8
H2S;uur;µg/m³;20200101 08:00;20200101 09:00;1.4;0.8
H2S;uur;µg/m³;20200101 09:00;20200101 10:00;1.2;1
H2S;uur;µg/m³;20200101 10:00;20200101 11:00;1.9;0.7
H2S;uur;µg/m³;20200101 11:00;20200101 12:00;1.5;1.4
H2S;uur;µg/m³;20200101 12:00;20200101 13:00;2;1.2
H2S;uur;µg/m³;20200101 13:00;20200101 14:00;1.8;1
H2S;uur;µg/m³;20200101 14:00;20200101 15:00;1.5;1.9
H2S;uur;µg/m³;20200101 15:00;20200101 16:00;1.4;1.4
H2S;uur;µg/m³;20200101 16:00;20200101 17:00;1;0.7
H2S;uur;µg/m³;20200101 17:00;20200101 18:00;1.4;2
H2S;uur;µg/m³;20200101 18:00;20200101 19:00;1.4;1.9
H2S;uur;µg/m³;20200101 19:00;20200101 20:00;1.3;2.6
H2S;uur;µg/m³;20200101 20:00;20200101 21:00;1.4;2.5
H2S;uur;µg/m³;20200101 21:00;20200101 22:00;1.8;2.2
H2S;uur;µg/m³;20200101 22:00;20200101 23:00;1.5;2.1
H2S;uur;µg/m³;20200101 23:00;20200102 00:00;1.2;1.9
H2S;uur;µg/m³;20200102 00:00;20200102 01:00;1.3;1.6
H2S;uur;µg/m³;20200102 01:00;20200102 02:00;1.3;3.1
H2S;uur;µg/m³;20200102 02:00;20200102 03:00;1.6;0.8
H2S;uur;µg/m³;20200102 03:00;20200102 04:00;1.8;0.9
H2S;uur;µg/m³;20200102 04:00;20200102 05:00;;1.2
H2S;uur;µg/m³;20200102 05:00;20200102 06:00;1.5;1.4
H2S;uur;µg/m³;20200102 06:00;20200102 07:00;1.6;0.5
H2S;uur;µg/m³;20200102 07:00;20200102 08:00;1.8;0.8
H2S;uur;µg/m³;20200102 08:00;20200102 09:00;1.6;1.3
H2S;uur;µg/m³;20200102 09:00;20200102 10:00;1.5;1.3
H2S;uur;µg/m³;20200102 10:00;20200102 11:00;1.2;3.1
H2S;uur;µg/m³;20200102 11:00;20200102 12:00;1.9;0.8
H2S;uur;µg/m³;20200102 12:00;20200102 13:00;1.5;0.6
H2S;uur;µg/m³;20200102 13:00;20200102 14:00;1.1;1.2
H2S;uur;µg/m³;20200102 14:00;20200102 15:00;1.5;1.6
H2S;uur;µg/m³;20200102 15:00;20200102 16:00;1.5;1.2
H2S;uur;µg/m³;20200102 16:00;20200102 17:00;1.8;5.7
H2S;uur;µg/m³;20200102 17:00;20200102 18:00;2.1;1.7
H2S;uur;µg/m³;20200102 18:00;20200102 19:00;1.7;1.7
H2S;uur;µg/m³;20200102 19:00;20200102 20:00;1.4;2.9
H2S;uur;µg/m³;20200102 20:00;20200102 21:00;1.5;1.2
H2S;uur;µg/m³;20200102 21:00;20200102 22:00;1.5;4.2
H2S;uur;µg/m³;20200102 22:00;20200102 23:00;1.4;5.2
H2S;uur;µg/m³;20200102 23:00;20200103 00:00;1.4;3
H2S;uur;µg/m³;20200103 00:00;20200103 01:00;1.2;4
H2S;uur;µg/m³;20200103 01:00;20200103 02:00;1.2;7
H2S;uur;µg/m³;20200103 02:00;20200103 03:00;1.1;
H2S;uur;µg/m³;20200103 03:00;20200103 04:00;1.2;5.6
H2S;uur;µg/m³;20200103 04:00;20200103 05:00;1.1;7
H2S;uur;µg/m³;20200103 05:00;20200103 06:00;1.2;6.6
H2S;uur;µg/m³;20200103 06:00;20200103 07:00;1.2;6.7
H2S;uur;µg/m³;20200103 07:00;20200103 08:00;1.7;7.9
H2S;uur;µg/m³;20200103 08:00;20200103 09:00;1.3;9.6
H2S;uur;µg/m³;20200103 09:00;20200103 10:00;1.3;4.2
H2S;uur;µg/m³;20200103 10:00;20200103 11:00;;1.4
H2S;uur;µg/m³;20200103 11:00;20200103 12:00;;0.8
H2S;uur;µg/m³;20200103 12:00;20200103 13:00;;0.6
H2S;uur;µg/m³;20200103 13:00;20200103 14:00;;0.3
H2S;uur;µg/m³;20200103 14:00;20200103 15:00;;0.3
H2S;uur;µg/m³;20200103 15:00;20200103 16:00;;0.6
H2S;uur;µg/m³;20200103 16:00;20200103 17:00;;0.6
H2S;uur;µg/m³;20200103 17:00;20200103 18:00;;0.8
H2S;uur;µg/m³;20200103 18:00;20200103 19:00;;0.3
H2S;uur;µg/m³;20200103 19:00;20200103 20:00;;0.7
H2S;uur;µg/m³;20200103 20:00;20200103 21:00;;0.4
H2S;uur;µg/m³;20200103 21:00;20200103 22:00;;0.3
H2S;uur;µg/m³;20200103 22:00;20200103 23:00;;0.4
H2S;uur;µg/m³;20200103 23:00;20200104 00:00;;1
H2S;uur;µg/m³;20200104 00:00;20200104 01:00;;0.8
H2S;uur;µg/m³;20200104 01:00;20200104 02:00;;0.5
H2S;uur;µg/m³;20200104 02:00;20200104 03:00;;0.5
