Export;EXP-2023-01 (20230706 15:28);;;StationsCode;NL01484;NL01485;NL01495;NL01496;NL10318;NL10444;NL10444;NL10644;NL10722;NL10722;NL10934;NL10934;NL49016;NL49551;NL49553;NL49704
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;DCMR;DCMR;DCMR;DCMR;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Botlek-Oude Maasweg;Hoogvliet-Leemkuil;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Philippine-Stelleweg;De Zilk-Vogelaarsdreef;De Zilk-Vogelaarsdreef;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Eibergen-Lintveldseweg;Kollumerwaard-Hooge Zuidwal;Kollumerwaard-Hooge Zuidwal;Amsterdam-Westerpark;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat;Amsterdam-Hoogtij
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.888889,4.3125);(51.867411,4.355242);(51.932039,4.228025);(51.977803,4.121944);(51.294498,3.749484);(52.296556,4.510817);(52.296556,4.510817);(51.974489,4.923301);(52.091801,6.605367);(52.091801,6.605367);(53.330425,6.276815);(53.330425,6.276815);(52.393972,4.870157);(52.463039,4.601842);(52.493992,4.601986);(52.428017,4.773478)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43w SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10318;NL10444;NL10444;NL10644;NL10722;NL10722;NL10934;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20170101 17:00;20170101 18:00;7.7;3.3;4.7;10.1;0.54;2.29;;0.71;0.24;;0.16;;1.2;0.7;26.5;4.1
SO2;uur;µg/m³;20170101 18:00;20170101 19:00;6.8;3.5;4.6;12;0.55;2.78;;1.83;0.84;;-0.38;;1.9;0.8;12.5;4.1
SO2;uur;µg/m³;20170101 19:00;20170101 20:00;9.5;2.4;5.1;11.4;0.4;3.51;;2.49;0;;0.12;;3.3;0.7;14.6;3.1
SO2;uur;µg/m³;20170101 20:00;20170101 21:00;9.2;2;4.7;9;0.66;2.35;;1.16;0.11;;-0.03;;2.3;-0.2;4.1;3.1
SO2;uur;µg/m³;20170101 21:00;20170101 22:00;8.6;2.3;4.2;10.4;0.5;2.41;;1.43;;;0.06;;1.9;0.6;0.9;3.4
SO2;uur;µg/m³;20170101 22:00;20170101 23:00;6.6;2.5;4.5;16.3;0.67;1.44;;1.03;0.07;;0.06;;1.8;4.1;0.6;2.9
SO2;uur;µg/m³;20170101 23:00;20170102 00:00;6.8;2.1;6;11.7;0.41;1.47;;1.33;0.58;;-0.13;;1.9;4.5;0.8;2.7
SO2;uur;µg/m³;20170102 00:00;20170102 01:00;7.9;2;5.8;11.3;0.42;0.12;;1.15;0.72;;-0.19;;1.8;4;-0.8;2
SO2;uur;µg/m³;20170102 01:00;20170102 02:00;8.3;1.9;5.5;11.5;0.57;0.38;;1.86;0.48;;0.31;;1.5;1.3;-1.3;1.4
SO2;uur;µg/m³;20170102 02:00;20170102 03:00;10.4;2.1;6.1;8.5;0.62;0.93;;0.52;0.54;;0.14;;1.3;3.2;-2.1;1.4
SO2;uur;µg/m³;20170102 03:00;20170102 04:00;10.8;3.6;4.7;6.1;0.79;3.34;;0.92;0.82;;0.33;;2;7.5;-1.8;1.2
SO2;uur;µg/m³;20170102 04:00;20170102 05:00;5.7;5.7;3.9;5.3;0.67;0.95;;0.23;0.48;;0.06;;1.1;4.9;-2.1;1.1
SO2;uur;µg/m³;20170102 05:00;20170102 06:00;5.3;3.6;3;5.6;0.51;-0.11;;-0.39;0.02;;0.02;;1.1;5.3;-1.6;0.7
SO2;uur;µg/m³;20170102 06:00;20170102 07:00;5.2;2.8;2.5;5.5;0.67;0.56;;-0.65;-0.41;;-0.13;;1.2;2.7;;0.5
SO2;uur;µg/m³;20170102 07:00;20170102 08:00;5.1;3;1.7;5.4;0.4;-0.32;;-0.77;-0.33;;0.19;;1.7;6.1;1.7;0.5
SO2;uur;µg/m³;20170102 08:00;20170102 09:00;5.3;3;2.5;4.8;0.37;-0.19;;-0.27;0.21;;0.1;;1.7;9.9;1.3;0.5
SO2;uur;µg/m³;20170102 09:00;20170102 10:00;3;2.7;2.2;4.7;0.82;-0.11;;-0.83;0.35;;0.26;;1.3;28.3;1.1;0.4
SO2;uur;µg/m³;20170102 10:00;20170102 11:00;3.3;2.9;2.3;4.2;1.39;-0.34;;0.27;0.32;;0.29;;1.8;17.6;1.5;0.9
SO2;uur;µg/m³;20170102 11:00;20170102 12:00;2.9;2.1;1.7;5.2;1.19;-0.04;;0.16;-0.04;;0.36;;2;13.9;1.3;0.8
SO2;uur;µg/m³;20170102 12:00;20170102 13:00;2.2;15.5;2.2;5;1.96;-0.09;;0.53;0.34;;0.21;;1.8;30.1;1.2;0.5
SO2;uur;µg/m³;20170102 13:00;20170102 14:00;2;3.6;2.6;5.3;1.85;0;;-0.09;0.17;;-0.01;;1.4;32.7;1.3;0.6
SO2;uur;µg/m³;20170102 14:00;20170102 15:00;2.8;7;2.5;4;1.99;-0.52;;-0.15;0.64;;0.09;;1;19.3;1.5;0.2
SO2;uur;µg/m³;20170102 15:00;20170102 16:00;2.2;4.9;2.7;4.5;1.48;-0.19;;-0.14;0.48;;-0.35;;1.1;21.1;0.9;0.3
SO2;uur;µg/m³;20170102 16:00;20170102 17:00;3;5.5;2.4;5.1;1.21;-0.28;;-0.43;0.65;;-0.15;;1.3;18.4;0.9;0.2
SO2;uur;µg/m³;20170102 17:00;20170102 18:00;1.8;4;2.2;4;0.91;-0.12;;-0.66;0.25;;0.31;;0.7;4.9;1.4;0.1
SO2;uur;µg/m³;20170102 18:00;20170102 19:00;2.3;3.1;1;4.3;1.23;-0.18;;-0.43;0.18;;0.06;;1.2;1.3;0.9;0.2
SO2;uur;µg/m³;20170102 19:00;20170102 20:00;2.3;3.4;1.3;5.1;0.93;-0.21;;-0.67;0.77;;0.25;;0.7;6.9;1.4;0.1
SO2;uur;µg/m³;20170102 20:00;20170102 21:00;2.8;3.8;1.8;4.9;0.82;-0.09;;-0.65;0.24;;0.25;;0.4;5.5;0.1;0.4
SO2;uur;µg/m³;20170102 21:00;20170102 22:00;2.7;4.5;1.2;5.8;0.93;-0.12;;-0.68;-0.12;;0.23;;0.5;1.5;1.2;0.2
SO2;uur;µg/m³;20170102 22:00;20170102 23:00;2.5;3;1.7;5.3;0.86;-0.18;;-0.73;0.02;;0.35;;0.5;5.5;0.9;0.2
SO2;uur;µg/m³;20170102 23:00;20170103 00:00;2.4;2.3;2;4.6;0.62;0.07;;-0.77;0.39;;-0.18;;0.4;3.4;1.5;0.1
SO2;uur;µg/m³;20170103 00:00;20170103 01:00;4.9;7.7;1.2;2;1.2;-0.25;;-0.99;1.18;;0.22;;0.4;2.7;1.1;0.7
SO2;uur;µg/m³;20170103 01:00;20170103 02:00;10.1;34.7;2.1;1.6;0.84;-0.2;;-0.58;;;0.49;;0.4;-1.2;1.1;1.6
SO2;uur;µg/m³;20170103 02:00;20170103 03:00;11.3;20.8;1.7;2.3;0.93;-0.08;;-0.63;1.88;;0.18;;0.6;-0.2;0.5;1.3
SO2;uur;µg/m³;20170103 03:00;20170103 04:00;10.3;50.5;3;2.2;0.66;-0.01;;-0.93;1.91;;0.35;;0.7;-1.1;0.9;1.3
SO2;uur;µg/m³;20170103 04:00;20170103 05:00;12.4;25.8;4.7;2.6;0.71;0.21;;-0.81;2.13;;0.37;;0.5;-2;0;1.8
SO2;uur;µg/m³;20170103 05:00;20170103 06:00;9;2.8;12.8;2.2;0.52;-0.41;;-0.52;2.21;;-0.5;;1.3;-1.3;0.8;1
SO2;uur;µg/m³;20170103 06:00;20170103 07:00;8.9;2.2;3.7;2.8;0.73;0.11;;1.08;2.03;;0.1;;0.9;0.7;1.4;0.9
SO2;uur;µg/m³;20170103 07:00;20170103 08:00;7.2;1.9;3.8;2.6;0.54;0.21;;1.59;2;;-0.01;;0.9;-2.2;0.7;1.1
SO2;uur;µg/m³;20170103 08:00;20170103 09:00;6.4;1.7;4.3;2.6;0.7;0.35;;1.43;1.34;;0.06;;0.8;-0.8;0.8;1.2
SO2;uur;µg/m³;20170103 09:00;20170103 10:00;10.9;1.8;3.6;3;0.66;-0.09;;0.5;1.07;;0.1;;0.8;-0.1;1;1.3
SO2;uur;µg/m³;20170103 10:00;20170103 11:00;7.5;2.1;4.8;2.3;0.84;0.1;;0.67;2.07;;-0.57;;0.9;;1.1;1.3
SO2;uur;µg/m³;20170103 11:00;20170103 12:00;7.4;1.7;11.7;2.2;0.99;0.18;;0.33;1.99;;-0.25;;1.1;0.9;1.4;1.6
SO2;uur;µg/m³;20170103 12:00;20170103 13:00;8.1;1.5;3.9;1.2;0.77;0.09;;1.8;1.42;;0.18;;1;-0.2;1.4;1.1
SO2;uur;µg/m³;20170103 13:00;20170103 14:00;5.9;1.5;13.3;1.8;0.99;0.3;;0.47;1.82;;0.28;;0.9;-0.4;1.8;1.2
SO2;uur;µg/m³;20170103 14:00;20170103 15:00;6.2;1.5;12.9;4.2;1.07;0.12;;1.18;2.13;;0.44;;0.9;-0.6;0.8;1.1
SO2;uur;µg/m³;20170103 15:00;20170103 16:00;5.8;1.9;8.9;2.8;1.07;0.08;;2.84;1.63;;0.08;;0.7;0.3;1.3;0.8
SO2;uur;µg/m³;20170103 16:00;20170103 17:00;14.4;2.1;32.9;2.4;1.18;0.08;;2.14;1.58;;0.12;;0.7;0.2;1.3;1.1
SO2;uur;µg/m³;20170103 17:00;20170103 18:00;7.3;1.9;11.2;2.5;0.74;0.35;;1.86;1.31;;-0.19;;0.8;-1.2;1.1;1
SO2;uur;µg/m³;20170103 18:00;20170103 19:00;8.2;1.6;17.7;1.1;0.78;0.42;;-0.25;1.23;;-0.5;;0.8;-2.2;0.5;1.1
SO2;uur;µg/m³;20170103 19:00;20170103 20:00;7.2;1.6;16.1;1.5;0.69;0.35;;0.39;1;;-0.11;;0.8;-0.9;1.5;1
SO2;uur;µg/m³;20170103 20:00;20170103 21:00;5.4;1.5;13.4;2.6;0.63;-0.08;;1.39;1.85;;0.14;;0.7;-0.3;1.2;0.8
SO2;uur;µg/m³;20170103 21:00;20170103 22:00;8.9;3.5;26.5;4.2;0.82;0.08;;-0.05;1.04;;-0.25;;0.7;0;0.6;0.7
SO2;uur;µg/m³;20170103 22:00;20170103 23:00;4.9;28.1;6.4;4.3;0.86;-0.11;;-0.33;1.43;;-0.35;;0.9;-0.4;1.1;0.9
SO2;uur;µg/m³;20170103 23:00;20170104 00:00;10.5;32.2;4.5;2.6;0.92;0.07;;-0.35;0.95;;-0.17;;1.1;-1.5;0.3;1.1
SO2;uur;µg/m³;20170104 00:00;20170104 01:00;16.1;30;4.2;2.7;1;-0.01;;0.9;1.39;;-0.3;;1.2;0.2;1.4;1.1
SO2;uur;µg/m³;20170104 01:00;20170104 02:00;14.4;41.3;4.4;2.9;1.08;-0.03;;0.23;0.18;;-0.54;;1;-1.5;2.2;1.9
SO2;uur;µg/m³;20170104 02:00;20170104 03:00;21.2;31.4;3.6;3.3;1.01;0.46;;0.36;;;-0.46;;2.7;-1.2;1.9;2.3
SO2;uur;µg/m³;20170104 03:00;20170104 04:00;21.1;24.2;3.4;3;1.04;-0.17;;0.26;0.16;;-0.04;;2.3;-1.6;0.3;2
